대분류,중분류,소분류,교육정도별(1),교육정도별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,소계,소계,불취학,소계,8083,8641,9106,9120,9800,10320,9376,8925,9211,8325,7308,7226
총범죄,소계,소계,초등학교,재중,194,185,46,112,118,123,135,122,89,127,117,128
총범죄,소계,소계,초등학교,중퇴,10411,10940,11386,11448,12507,13177,12324,11742,12212,11168,9948,10215
총범죄,소계,소계,초등학교,졸업,55766,57082,58836,57543,60419,61082,55328,50343,50169,45983,39229,39262
총범죄,소계,소계,중학교,재중,19173,24597,17159,14619,13710,12635,12822,12731,13318,13946,12446,16281
총범죄,소계,소계,중학교,중퇴,25608,27043,26942,24531,24732,24353,21415,19196,18983,16556,14321,14727
총범죄,소계,소계,중학교,졸업,84657,85140,90935,90372,93220,96395,87256,82091,81559,73969,62300,63993
총범죄,소계,소계,고등학교,재중,35941,46789,34758,30206,31706,31851,30690,24571,23559,25269,22470,22809
총범죄,소계,소계,고등학교,중퇴,49023,48179,47460,43879,46511,46938,42488,40518,41361,37056,30721,32461
총범죄,소계,소계,고등학교,졸업,578850,532009,517431,506448,507205,538435,485201,435141,432926,401429,353124,368648
총범죄,소계,소계,대학(4년미만),재중,6082,5613,4804,4350,4232,4146,3633,4103,4115,3676,3267,3123
총범죄,소계,소계,대학(4년미만),중퇴,5850,5885,6520,6295,6482,6796,6117,6569,6736,6175,5282,5373
총범죄,소계,소계,대학(4년미만),졸업,54073,56944,64842,63887,65277,70288,65214,62092,61476,54972,48837,52416
총범죄,소계,소계,대학(4년이상),재중,29591,32504,29649,28394,29609,29281,26361,22829,22019,21184,19359,21078
총범죄,소계,소계,대학(4년이상),중퇴,20776,23339,27635,28241,30752,35188,33610,32013,32599,30153,26975,29581
총범죄,소계,소계,대학(4년이상),졸업,142532,150959,168540,167032,171713,189290,173552,159788,155033,143996,132027,143531
총범죄,소계,소계,대학원,소계,23719,-,-,-,-,-,-,-,-,-,-,-
총범죄,소계,소계,대학원,재중,-,4399,4322,4121,4511,4653,4151,2841,2781,2774,2702,3004
총범죄,소계,소계,대학원,중퇴,-,1923,2049,2083,2275,2565,2458,1494,1769,1636,1586,1811
총범죄,소계,소계,대학원,졸업,-,18665,19676,20130,20903,22777,22078,18324,18985,18018,17314,18694
총범죄,소계,소계,기타,소계,63918,44582,27610,27291,25013,22971,18364,14724,15128,15988,18807,22806
총범죄,소계,소계,미상,소계,600986,538397,571596,572333,610695,624341,572888,571765,581610,562021,419540,373163
소계,강력범죄,소계,불취학,소계,152,170,221,184,234,214,178,187,172,166,131,98
소계,강력범죄,소계,초등학교,재중,10,12,3,2,4,5,4,4,2,4,3,5
소계,강력범죄,소계,초등학교,중퇴,295,306,339,368,386,352,347,352,325,280,256,218
소계,강력범죄,소계,초등학교,졸업,968,998,1164,1169,1146,1116,1194,1021,972,885,707,711
소계,강력범죄,소계,중학교,재중,483,620,545,480,441,463,413,444,454,419,404,484
소계,강력범죄,소계,중학교,중퇴,838,727,764,638,595,572,566,513,449,385,342,346
소계,강력범죄,소계,중학교,졸업,1518,1373,1583,1570,1546,1495,1523,1492,1434,1317,1088,1073
소계,강력범죄,소계,고등학교,재중,1329,1549,1255,1123,944,1090,1040,921,921,768,701,680
소계,강력범죄,소계,고등학교,중퇴,1529,1316,1285,1122,1122,1053,1001,945,1009,802,662,628
소계,강력범죄,소계,고등학교,졸업,6723,6149,6781,6977,7005,7271,7555,7121,7305,6922,5936,6048
소계,강력범죄,소계,대학(4년미만),재중,171,147,183,174,166,133,134,179,175,145,117,100
소계,강력범죄,소계,대학(4년미만),중퇴,172,148,182,180,183,193,206,178,201,174,148,143
소계,강력범죄,소계,대학(4년미만),졸업,790,807,1001,1077,1143,1208,1339,1339,1369,1249,1059,1195
소계,강력범죄,소계,대학(4년이상),재중,735,922,971,1051,1066,1076,1193,1179,1139,962,872,977
소계,강력범죄,소계,대학(4년이상),중퇴,378,438,574,576,634,658,764,750,829,756,648,661
소계,강력범죄,소계,대학(4년이상),졸업,2005,2022,2609,2890,3162,3507,3899,3686,3785,3561,3035,3482
소계,강력범죄,소계,대학원,소계,484,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,소계,대학원,재중,-,125,166,150,180,203,168,146,137,140,108,173
소계,강력범죄,소계,대학원,중퇴,-,38,46,56,67,61,73,49,48,37,43,38
소계,강력범죄,소계,대학원,졸업,-,298,390,476,593,614,687,611,648,539,549,628
소계,강력범죄,소계,기타,소계,880,514,381,356,368,423,453,279,277,235,267,336
소계,강력범죄,소계,미상,소계,5886,5110,4908,4446,4836,5364,6190,6906,7292,7225,5916,6993
소계,강력범죄,살인기수,불취학,소계,4,5,9,6,6,8,7,7,5,6,4,2
소계,강력범죄,살인기수,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인기수,초등학교,중퇴,7,14,11,12,8,4,7,5,3,8,5,3
소계,강력범죄,살인기수,초등학교,졸업,37,36,36,32,34,25,26,19,18,17,14,12
소계,강력범죄,살인기수,중학교,재중,1,1,-,2,-,1,-,-,1,-,1,1
소계,강력범죄,살인기수,중학교,중퇴,19,12,11,15,12,12,18,16,11,17,8,12
소계,강력범죄,살인기수,중학교,졸업,38,33,27,29,32,36,30,28,26,28,19,17
소계,강력범죄,살인기수,고등학교,재중,5,5,2,5,5,-,8,2,3,1,1,1
소계,강력범죄,살인기수,고등학교,중퇴,21,32,17,19,28,18,18,14,20,19,21,15
소계,강력범죄,살인기수,고등학교,졸업,134,143,110,127,111,124,86,92,94,77,80,80
소계,강력범죄,살인기수,대학(4년미만),재중,1,2,-,-,2,-,1,1,3,1,2,2
소계,강력범죄,살인기수,대학(4년미만),중퇴,4,4,5,1,2,3,2,5,4,3,2,6
소계,강력범죄,살인기수,대학(4년미만),졸업,15,13,15,20,11,16,11,14,6,13,11,10
소계,강력범죄,살인기수,대학(4년이상),재중,5,7,5,4,3,1,4,-,3,5,5,2
소계,강력범죄,살인기수,대학(4년이상),중퇴,7,6,7,11,7,9,6,13,9,5,8,10
소계,강력범죄,살인기수,대학(4년이상),졸업,17,24,23,27,16,30,24,29,27,29,29,20
소계,강력범죄,살인기수,대학원,소계,8,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인기수,대학원,재중,-,-,1,2,1,-,-,1,-,1,-,1
소계,강력범죄,살인기수,대학원,중퇴,-,-,1,-,-,-,1,-,-,-,-,-
소계,강력범죄,살인기수,대학원,졸업,-,4,4,2,4,1,4,5,1,6,2,2
소계,강력범죄,살인기수,기타,소계,18,12,5,1,4,3,4,8,2,3,2,2
소계,강력범죄,살인기수,미상,소계,108,93,88,132,103,88,87,91,109,102,93,100
소계,강력범죄,살인미수등,불취학,소계,13,9,15,10,8,10,7,9,10,13,5,3
소계,강력범죄,살인미수등,초등학교,재중,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인미수등,초등학교,중퇴,23,19,27,23,27,15,22,16,13,10,9,11
소계,강력범죄,살인미수등,초등학교,졸업,64,38,55,48,59,57,48,38,53,30,27,36
소계,강력범죄,살인미수등,중학교,재중,-,-,5,-,3,1,1,-,3,2,2,-
소계,강력범죄,살인미수등,중학교,중퇴,39,35,29,32,25,33,24,15,20,17,15,15
소계,강력범죄,살인미수등,중학교,졸업,80,74,87,76,62,79,62,59,59,46,43,49
소계,강력범죄,살인미수등,고등학교,재중,3,6,10,3,4,6,2,2,3,2,-,4
소계,강력범죄,살인미수등,고등학교,중퇴,45,52,32,30,35,46,41,24,25,26,14,20
소계,강력범죄,살인미수등,고등학교,졸업,289,203,177,171,195,192,186,181,159,136,134,129
소계,강력범죄,살인미수등,대학(4년미만),재중,-,1,1,-,2,1,2,-,1,1,2,1
소계,강력범죄,살인미수등,대학(4년미만),중퇴,7,3,7,2,2,4,3,4,7,4,4,5
소계,강력범죄,살인미수등,대학(4년미만),졸업,23,13,24,18,22,14,15,9,11,10,17,9
