대분류,중분류,소분류,교육정도별(1),교육정도별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,불취학,소계,22609,21488,21205,22183,27299,29515,28275,29039,26063,23958,20729,17161,12707,12740,12282,11352,10400
총범죄,소계,소계,초등학교,재중,999,788,823,829,788,653,689,811,742,587,619,348,419,399,473,391,322
총범죄,소계,소계,초등학교,중퇴,19626,19876,20543,23184,28058,30079,29326,29868,27474,25954,23282,18140,11487,12024,10989,11543,10981
총범죄,소계,소계,초등학교,졸업,161188,156376,161781,171906,195233,200121,186061,182620,171094,161344,143010,110887,77246,77034,71968,69891,63056
총범죄,소계,소계,중학교,재중,15643,19158,20168,23390,18595,15615,17519,13726,13870,12931,13606,14589,18066,23358,25127,24188,20500
총범죄,소계,소계,중학교,중퇴,44789,47454,52713,57838,67375,69536,68677,68395,62807,57889,48528,38307,27696,29884,28068,29896,28583
총범죄,소계,소계,중학교,졸업,216537,206474,213625,221144,242138,243974,231286,232241,221322,209124,197981,156836,131931,134605,133686,130331,101025
총범죄,소계,소계,고등학교,재중,32835,39189,41926,49347,47226,43664,46076,40122,35751,32123,30912,30302,32022,41297,45093,45933,37465
총범죄,소계,소계,고등학교,중퇴,60040,64587,71812,78806,91279,95332,98064,102243,97855,90078,77687,60264,43983,47851,46723,50705,48905
총범죄,소계,소계,고등학교,졸업,574829,591706,636629,681045,725394,766024,758192,785291,780748,757813,835614,692639,709793,759986,822921,777613,626716
총범죄,소계,소계,대학(4년미만),재중,6837,8123,10142,12856,18327,18367,16088,21072,21803,17183,12421,9454,8183,8705,8940,9126,6933
총범죄,소계,소계,대학(4년미만),중퇴,5714,6236,6710,7826,10344,10695,11472,19003,17093,16463,12563,9915,7220,7891,8055,8662,6409
총범죄,소계,소계,대학(4년미만),졸업,50205,52809,58452,64949,75237,78907,83244,92462,98453,102493,101849,85606,79944,90775,103187,102220,72286
총범죄,소계,소계,대학(4년이상),재중,16596,17737,21930,22130,27340,30798,34621,37878,39119,38883,39437,31620,30775,34950,38808,41091,32895
총범죄,소계,소계,대학(4년이상),중퇴,17526,18595,19389,20191,24088,26377,27371,30646,31019,31522,28052,22798,16504,17889,17364,20028,19291
총범죄,소계,소계,대학(4년이상),졸업,106120,109447,115027,124472,142319,147896,151017,163305,169452,176992,180008,152679,129377,139927,150884,161841,150199
총범죄,소계,소계,대학원,소계,9342,9888,10565,11592,13364,14405,15928,18295,19260,18615,15542,13160,9421,9949,10231,11826,23005
총범죄,소계,소계,기타,소계,8603,11795,15573,11951,9424,10247,13553,16448,18572,19195,36581,24897,32212,29451,30235,30665,40564
총범죄,소계,소계,미상,소계,53580,48433,52387,66716,99168,95953,79956,96709,90490,124063,449483,480224,613791,630830,768086,796413,686784
형법범,소계,소계,불취학,소계,13738,12938,12752,12315,14562,17665,17187,16869,14111,13773,11392,10467,7834,7744,7365,6921,6213
형법범,소계,소계,초등학교,재중,679,562,564,516,466,396,464,503,476,367,391,246,336,316,321,258,246
형법범,소계,소계,초등학교,중퇴,12233,12161,12398,12327,14919,18064,18188,17850,15318,14967,13462,11358,7430,7745,7040,7475,7188
형법범,소계,소계,초등학교,졸업,78198,76166,79312,76056,86297,101184,94991,90108,77936,76228,66418,57039,43018,42782,39424,38972,34514
형법범,소계,소계,중학교,재중,13511,16186,16006,18871,15456,13374,15121,11701,11639,11047,12011,13155,15867,20173,19983,20155,17910
형법범,소계,소계,중학교,중퇴,27346,28573,31064,32747,38770,42480,42637,40877,36047,34882,29883,25228,19562,20787,19607,21232,20311
형법범,소계,소계,중학교,졸업,91167,89699,94857,92538,103616,117279,111689,108532,97619,96086,91188,81071,74898,74088,72143,73232,55500
형법범,소계,소계,고등학교,재중,24814,28209,28013,33897,34287,31525,32851,28172,25329,23027,22774,22625,22972,27649,28172,32447,27748
형법범,소계,소계,고등학교,중퇴,35045,37267,41306,43148,50534,56189,58964,58077,53036,51830,44412,37128,28575,30179,29269,33081,32751
형법범,소계,소계,고등학교,졸업,219238,234766,255107,255459,290013,344672,335025,332820,311137,316506,314047,288070,307653,300743,295942,318517,269585
