대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,소계,소계,한국,소계,1787797,1700901,1716318,1683979,1735947,1806561,1651556,1549609,1549238,1459031,1218230,1219376
총범죄,소계,소계,외국인,소계,27436,22914,24984,28456,35443,41044,33905,32313,36400,35390,29450,30954
총범죄,소계,소계,외국인,미국,1751,1668,1799,1779,1737,1881,1775,1687,1717,1494,1364,1605
총범죄,소계,소계,외국인,중국,16267,13152,14557,16832,21279,22567,18965,17603,18177,17116,14503,15085
총범죄,소계,소계,외국인,일본,125,171,169,181,244,196,221,226,208,133,93,126
총범죄,소계,소계,외국인,몽골,1470,1381,1274,1085,1270,1647,1244,1153,1189,1160,943,1034
총범죄,소계,소계,외국인,베트남,2438,1819,1666,1740,2038,2355,1753,1539,2255,2764,2861,3200
총범죄,소계,소계,외국인,태국,932,576,597,1249,1738,3211,2168,2463,3713,2995,2219,2347
총범죄,소계,소계,외국인,대만,515,427,496,579,481,506,529,484,529,442,325,333
총범죄,소계,소계,외국인,러시아,245,270,260,374,451,818,1027,1061,1464,1452,1073,995
총범죄,소계,소계,외국인,방글라데시,123,115,128,106,137,205,139,106,139,172,122,126
총범죄,소계,소계,외국인,스리랑카,459,354,351,365,633,559,326,284,237,266,155,169
총범죄,소계,소계,외국인,우즈베키스탄,710,710,993,1070,1418,1755,1448,1350,1533,1863,1580,1539
총범죄,소계,소계,외국인,인도네시아,179,189,186,220,406,385,214,170,180,219,167,184
총범죄,소계,소계,외국인,캐나다,271,323,292,306,373,376,312,342,307,279,251,279
총범죄,소계,소계,외국인,키르기스스탄,98,84,79,78,111,186,139,133,140,169,115,124
총범죄,소계,소계,외국인,필리핀,542,270,364,429,481,673,370,276,315,456,315,298
총범죄,소계,소계,외국인,파키스탄,244,198,226,219,254,367,248,185,358,358,226,129
총범죄,소계,소계,외국인,기타,1067,1207,1547,1844,2392,3357,3027,3251,3939,4052,3138,3381
소계,강력범죄,소계,한국,소계,24761,23199,24648,24389,24980,26241,28014,27376,28038,26218,22350,24166
소계,강력범죄,소계,외국인,소계,585,590,703,676,841,830,913,926,905,753,642,851
소계,강력범죄,소계,외국인,미국,50,37,42,54,65,54,78,65,57,50,56,58
소계,강력범죄,소계,외국인,중국,233,223,254,284,315,351,352,351,342,287,227,295
소계,강력범죄,소계,외국인,일본,3,5,11,7,12,4,15,17,12,2,2,4
소계,강력범죄,소계,외국인,몽골,49,45,46,42,43,57,56,55,45,35,30,34
소계,강력범죄,소계,외국인,베트남,74,69,49,42,43,35,35,31,41,38,48,62
소계,강력범죄,소계,외국인,태국,4,13,9,11,24,21,34,34,33,37,21,34
소계,강력범죄,소계,외국인,대만,11,1,14,18,11,16,10,11,12,10,5,5
소계,강력범죄,소계,외국인,러시아,9,13,18,12,15,21,45,61,62,43,25,29
소계,강력범죄,소계,외국인,방글라데시,10,15,17,14,18,6,21,16,14,8,7,26
소계,강력범죄,소계,외국인,스리랑카,21,29,30,14,51,18,20,17,15,7,5,8
소계,강력범죄,소계,외국인,우즈베키스탄,29,42,53,40,66,49,35,40,62,44,34,58
소계,강력범죄,소계,외국인,인도네시아,1,11,2,6,18,3,3,4,4,-,5,1
소계,강력범죄,소계,외국인,캐나다,4,10,8,5,13,9,14,11,14,5,12,6
소계,강력범죄,소계,외국인,키르기스스탄,3,3,1,-,4,1,3,1,7,7,1,3
소계,강력범죄,소계,외국인,필리핀,14,7,8,10,6,21,9,4,3,3,9,6
소계,강력범죄,소계,외국인,파키스탄,21,13,30,21,24,25,11,14,17,32,18,12
소계,강력범죄,소계,외국인,기타,49,54,111,96,113,139,172,194,165,145,137,210
소계,강력범죄,살인기수,한국,소계,427,423,359,421,350,345,307,328,317,316,293,289
소계,강력범죄,살인기수,외국인,소계,22,23,18,26,39,34,37,22,28,25,14,9
소계,강력범죄,살인기수,외국인,미국,-,-,-,1,-,-,3,2,-,-,2,-
소계,강력범죄,살인기수,외국인,중국,18,6,6,20,17,24,19,18,15,12,7,5
소계,강력범죄,살인기수,외국인,일본,-,1,-,-,-,-,1,-,-,-,-,-
소계,강력범죄,살인기수,외국인,몽골,-,-,-,-,-,1,2,-,1,-,-,-
소계,강력범죄,살인기수,외국인,베트남,2,7,5,1,9,4,2,-,2,3,2,-
소계,강력범죄,살인기수,외국인,태국,-,4,-,-,1,5,6,-,4,4,-,1
소계,강력범죄,살인기수,외국인,대만,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인기수,외국인,러시아,-,2,-,-,1,-,1,1,2,-,-,2
소계,강력범죄,살인기수,외국인,방글라데시,-,-,-,-,1,-,-,-,-,-,-,-
소계,강력범죄,살인기수,외국인,스리랑카,-,-,-,1,-,-,-,-,1,1,-,-
소계,강력범죄,살인기수,외국인,우즈베키스탄,-,-,1,2,-,-,1,-,2,2,1,-
소계,강력범죄,살인기수,외국인,인도네시아,-,-,-,-,7,-,-,-,-,-,-,-
소계,강력범죄,살인기수,외국인,캐나다,-,1,-,-,-,-,1,-,-,-,-,-
소계,강력범죄,살인기수,외국인,키르기스스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인기수,외국인,필리핀,2,1,1,-,-,-,-,-,-,-,1,-
소계,강력범죄,살인기수,외국인,파키스탄,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인기수,외국인,기타,-,1,5,1,3,-,1,1,1,3,1,1
소계,강력범죄,살인미수등,한국,소계,755,549,565,521,532,542,495,456,471,403,383,393
소계,강력범죄,살인미수등,외국인,소계,81,61,55,54,54,74,66,60,54,51,26,36
소계,강력범죄,살인미수등,외국인,미국,1,-,-,-,-,-,2,1,-,2,-,1
소계,강력범죄,살인미수등,외국인,중국,51,35,44,35,34,41,41,33,28,24,14,17
소계,강력범죄,살인미수등,외국인,일본,-,-,-,-,-,-,-,-,-,-,-,-
소계,강력범죄,살인미수등,외국인,몽골,5,3,2,1,2,6,4,4,2,-,-,1
소계,강력범죄,살인미수등,외국인,베트남,14,10,6,6,5,8,1,5,5,9,3,4
소계,강력범죄,살인미수등,외국인,태국,4,-,1,-,1,5,4,5,7,4,3,3
소계,강력범죄,살인미수등,외국인,대만,-,-,1,2,-,-,-,1,-,-,-,-
소계,강력범죄,살인미수등,외국인,러시아,-,-,-,1,1,2,3,-,2,2,-,1
