대분류,중분류,소분류,피해자와의관계별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,소계,소계,국가,450782,396105,420805,387624,379320,435303,361659,272666,246885,209423,187233,199966
총범죄,소계,소계,공무원,9593,10339,11025,13553,10740,11005,9650,7736,7139,6208,5087,5685
총범죄,소계,소계,고용자,10444,8053,7629,7664,7591,7197,6480,5554,5060,4613,3672,3953
총범죄,소계,소계,피고용자,3601,4419,4127,4109,3854,3847,3809,4300,4135,3992,3254,3270
총범죄,소계,소계,직장동료,12285,13767,13775,13587,13834,13761,13604,12608,11912,11335,10179,10068
총범죄,소계,소계,친구,15623,18901,16049,14958,15402,16194,16219,11762,12140,11111,10525,10992
총범죄,소계,소계,애인,11840,12195,11977,11566,13089,15595,14907,13965,13965,13064,13382,15947
총범죄,소계,소계,동거친족,11961,13969,16337,17133,30590,35198,32389,33927,41007,38042,49199,47543
총범죄,소계,소계,기타친족,6940,7782,7317,7189,8249,8726,8071,8218,8651,8226,8726,8988
총범죄,소계,소계,거래상대방,40489,44266,46018,45143,41474,42438,41167,37293,37221,35439,25999,25416
총범죄,소계,소계,이웃,20652,22200,20001,19586,17866,18133,16887,15617,15467,15232,13979,12872
총범죄,소계,소계,지인,29135,32751,32317,32701,32678,32381,31212,44369,46010,44268,36230,37118
총범죄,소계,소계,타인,476637,526419,528805,542284,540219,516003,497643,471115,481063,466746,402140,420308
총범죄,소계,소계,기타,186208,143368,112551,100905,120177,138589,118732,103421,102802,106953,109023,125924
총범죄,소계,소계,미상,529043,469281,492569,494433,536307,553235,513032,539371,552181,519769,369052,322280
소계,강력범죄,소계,국가,87,66,57,57,82,81,92,73,56,47,37,46
소계,강력범죄,소계,공무원,25,23,28,35,34,27,23,28,30,25,18,27
소계,강력범죄,소계,고용자,160,134,161,200,190,251,254,245,214,247,237,196
소계,강력범죄,소계,피고용자,143,225,289,298,293,287,358,276,258,217,214,191
소계,강력범죄,소계,직장동료,280,434,595,690,739,784,973,1004,1001,1115,1008,1032
소계,강력범죄,소계,친구,498,636,769,737,730,934,926,776,797,676,779,804
소계,강력범죄,소계,애인,655,618,736,713,730,799,788,753,751,747,685,688
