"시점",상해,폭행,체포·감금,협박,약취·유인,폭력행위등,공갈,손괴
"2011",67206,126651,832,3578,266,46729,5239,61444
"2012",62342,130546,876,4480,200,46725,6698,60712
"2013",55884,128699,929,4661,188,41704,4310,57813
"2014",50281,132920,945,5187,198,37689,4862,57997
"2015",48005,149278,1028,9187,190,35686,3596,58977
"2016",50028,165803,1318,15870,201,13302,3745,59127
"2017",44611,159641,1439,15499,206,11255,4152,56283
"2018",39766,159267,1207,17200,187,9204,4096,56684
"2019",36858,157197,1243,21022,250,8350,4847,58146
"2020",32904,139361,1209,21214,210,7398,5281,58191
"2021",28453,115942,1165,21058,240,6484,5131,54188
"2022",26806,125217,1145,21567,276,6745,6904,56626
