죄종별,죄종별2,죄종별3,범죄발생지별,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년,2022 년
총범죄,계,소계,서울,358753,360468,368876,355430,355341,341925,319046,306661,305909,290816,252289,267778
총범죄,계,소계,부산,135399,137788,140078,135757,143713,133966,118854,115727,119267,120095,105737,112080
총범죄,계,소계,대구,96450,97968,96254,95802,98758,86094,75024,72270,75707,72171,67795,66441
총범죄,계,소계,인천,86641,92766,99056,96846,101931,103459,95244,88228,93347,91257,80589,84888
총범죄,계,소계,광주,63810,67513,68034,64748,61697,54287,48205,43515,44102,43179,39203,38408
총범죄,계,소계,대전,47401,45073,48417,47661,49577,49033,46904,45454,45047,44426,39711,43200
총범죄,계,소계,울산,37855,38716,41209,41326,45141,40330,36531,34389,34128,31834,31015,27385
총범죄,계,소계,세종,0,0,0,0,3660,4661,4866,5156,6095,6251,5921,6525
총범죄,계,소계,고양시,26421,28248,31010,31111,31178,31383,28577,26957,27903,27043,24320,24126
총범죄,계,소계,과천시,0,0,0,0,1691,2150,1781,1777,1679,1221,1116,1586
총범죄,계,소계,광명시,7920,8442,9118,9701,9936,10684,9012,8364,8557,8080,7263,7002
총범죄,계,소계,광주시,0,0,0,0,10222,11530,10360,9743,9777,10860,10281,10130
총범죄,계,소계,구리시,7337,7851,7438,7362,7671,8025,6977,6458,6983,5732,4801,4980
총범죄,계,소계,군포시,6734,7652,7559,7629,7205,8251,6995,5659,5554,5280,5234,5494
총범죄,계,소계,김포시,0,0,0,0,9935,11305,10361,11071,11182,12388,12646,12139
총범죄,계,소계,남양주시,13709,14262,14391,14984,16396,18327,16846,15561,15521,14813,13855,14348
총범죄,계,소계,동두천시,0,0,0,0,3484,3544,3245,3249,3142,2975,2564,2820
총범죄,계,소계,부천시,31393,35196,35796,34458,35173,36086,31124,29240,28107,28212,25515,25273
총범죄,계,소계,성남시,29500,30465,31555,30802,30862,37638,29661,27089,28066,27066,23681,23353
총범죄,계,소계,수원시,36741,38097,39449,40699,45531,50728,45991,42123,41697,40659,34060,33892
