죄종별(1),죄종별(2),죄종별(3),범죄발생시간별(1),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,계,소계,00:00~02:59,175531,130371,127974,124068,124560,121805,111172,99089,94095,86398,57763,71808
총범죄,계,소계,03:00~05:59,101392,106086,109583,101193,104919,107865,98922,89509,86471,81043,50928,65179
총범죄,계,소계,06:00~08:59,88871,94612,95392,93165,102344,108645,97823,87417,88488,81052,68799,69113
총범죄,계,소계,09:00~11:59,178310,191682,211569,198855,210771,227039,202798,179038,183235,174325,147157,135849
총범죄,계,소계,12:00~14:59,99469,156610,162572,159772,173791,181967,166767,157707,169090,172610,164739,159299
총범죄,계,소계,15:00~17:59,162018,169246,173869,173441,189338,197666,178130,166467,172107,177378,171860,166585
총범죄,계,소계,18:00~20:59,192126,199880,201643,201323,209512,212977,189354,172965,175503,176642,171036,162138
총범죄,계,소계,21:00~23:59,317650,315551,329374,310524,309885,297734,258892,223374,204508,190384,194712,194969
총범죄,계,소계,미상,437231,429362,445300,416625,436537,393752,358483,405185,438409,448034,402832,457493
총범죄,강력범죄,소계,00:00~02:59,3716,3023,3040,2743,2686,2978,3182,2944,2920,2642,1908,2318
총범죄,강력범죄,소계,03:00~05:59,3982,3620,3430,3039,2964,3068,3377,3252,3316,2754,1752,2252
총범죄,강력범죄,소계,06:00~08:59,2312,1947,2058,1926,1861,1962,2205,1957,1977,1478,1204,1459
총범죄,강력범죄,소계,09:00~11:59,1425,1453,1625,1526,1640,1652,1992,2005,1799,1736,1542,1644
총범죄,강력범죄,소계,12:00~14:59,1095,1549,1651,1681,1689,1808,2064,2041,1966,1913,1912,1909
총범죄,강력범죄,소계,15:00~17:59,1954,1897,2150,2174,2109,2252,2475,2406,2447,2203,2254,2342
총범죄,강력범죄,소계,18:00~20:59,2741,2440,2700,2671,2767,3039,3296,3115,3089,2864,2946,3009
총범죄,강력범죄,소계,21:00~23:59,4141,4128,4407,4045,3943,4360,4469,4335,4215,4160,4550,4675
총범죄,강력범죄,소계,미상,5333,5095,5901,5472,5675,4646,4214,4732,4747,4582,4408,5346
총범죄,강력범죄,살인기수,00:00~02:59,55,36,34,32,21,30,20,24,15,20,18,16
총범죄,강력범죄,살인기수,03:00~05:59,34,34,25,38,37,32,28,22,21,30,17,29
총범죄,강력범죄,살인기수,06:00~08:59,51,26,25,27,30,32,31,27,20,23,17,24
총범죄,강력범죄,살인기수,09:00~11:59,35,51,37,42,47,36,21,36,28,29,29,25
총범죄,강력범죄,살인기수,12:00~14:59,15,46,37,44,37,39,38,32,38,23,24,28
총범죄,강력범죄,살인기수,15:00~17:59,48,46,46,41,40,51,38,27,33,34,32,36
총범죄,강력범죄,살인기수,18:00~20:59,63,56,49,58,51,41,53,49,43,53,49,16
총범죄,강력범죄,살인기수,21:00~23:59,75,69,60,56,57,60,43,37,49,34,38,35
총범죄,강력범죄,살인기수,미상,51,47,29,34,45,35,29,55,50,62,46,66
총범죄,강력범죄,살인미수등,00:00~02:59,90,59,51,50,52,47,47,41,33,35,21,36
총범죄,강력범죄,살인미수등,03:00~05:59,83,45,48,48,48,38,41,34,50,27,33,33
총범죄,강력범죄,살인미수등,06:00~08:59,51,24,34,38,43,42,44,36,29,40,24,30
총범죄,강력범죄,살인미수등,09:00~11:59,57,48,65,51,54,53,62,40,44,38,42,48
총범죄,강력범죄,살인미수등,12:00~14:59,44,44,50,47,46,62,47,41,46,34,30,35
총범죄,강력범죄,살인미수등,15:00~17:59,72,61,67,60,72,70,62,49,60,49,42,45
총범죄,강력범죄,살인미수등,18:00~20:59,110,105,76,77,85,67,72,83,66,46,59,46
총범죄,강력범죄,살인미수등,21:00~23:59,149,123,108,99,99,131,98,101,82,78,62,76
총범죄,강력범죄,살인미수등,미상,121,75,88,71,65,48,51,63,72,69,75,78
총범죄,강력범죄,강도,00:00~02:59,609,381,277,249,232,147,132,110,105,80,38,43
총범죄,강력범죄,강도,03:00~05:59,820,594,399,297,262,200,162,134,131,93,54,69
총범죄,강력범죄,강도,06:00~08:59,240,136,109,86,79,78,58,49,44,34,28,25
총범죄,강력범죄,강도,09:00~11:59,237,135,143,92,105,71,69,75,59,57,47,44
총범죄,강력범죄,강도,12:00~14:59,179,169,101,120,97,103,74,64,68,63,51,40
총범죄,강력범죄,강도,15:00~17:59,280,155,158,115,91,86,87,67,72,71,55,62
총범죄,강력범죄,강도,18:00~20:59,341,228,159,142,145,136,99,89,81,61,57,68
총범죄,강력범죄,강도,21:00~23:59,466,349,270,204,184,142,134,97,107,90,92,75
총범죄,강력범죄,강도,미상,822,440,364,281,251,186,152,136,131,114,73,90
총범죄,강력범죄,강간・강제추행,00:00~02:59,2614,2278,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,03:00~05:59,2761,2675,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,06:00~08:59,1838,1654,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,09:00~11:59,958,1073,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,12:00~14:59,748,1142,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,15:00~17:59,1349,1423,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,18:00~20:59,1976,1799,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,21:00~23:59,3110,3248,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간・강제추행,미상,4144,4378,-,-,-,-,-,-,-,-,-,-
총범죄,강력범죄,강간,00:00~02:59,-,-,672,586,601,695,720,665,630,636,600,603
총범죄,강력범죄,강간,03:00~05:59,-,-,793,664,734,743,886,865,885,750,613,653
총범죄,강력범죄,강간,06:00~08:59,-,-,401,337,320,366,383,375,417,358,264,280
총범죄,강력범죄,강간,09:00~11:59,-,-,305,279,340,301,353,341,293,337,238,289
총범죄,강력범죄,강간,12:00~14:59,-,-,291,279,273,294,309,330,325,331,327,325
총범죄,강력범죄,강간,15:00~17:59,-,-,324,278,267,287,330,349,311,326,333,356
총범죄,강력범죄,강간,18:00~20:59,-,-,398,336,331,405,397,422,425,457,478,469
총범죄,강력범죄,강간,21:00~23:59,-,-,723,646,596,703,688,676,719,731,942,856
총범죄,강력범죄,강간,미상,-,-,1846,1673,1689,1361,1157,1270,1305,1387,1468,1636
총범죄,강력범죄,유사강간,00:00~02:59,-,-,19,48,71,68,82,96,102,96,107,113
총범죄,강력범죄,유사강간,03:00~05:59,-,-,15,48,72,80,101,129,110,127,125,132
총범죄,강력범죄,유사강간,06:00~08:59,-,-,7,27,39,39,58,71,57,58,48,55
총범죄,강력범죄,유사강간,09:00~11:59,-,-,8,20,19,44,43,48,62,54,33,52
총범죄,강력범죄,유사강간,12:00~14:59,-,-,13,24,36,29,49,47,60,45,49,43
총범죄,강력범죄,유사강간,15:00~17:59,-,-,9,29,30,54,50,53,55,59,62,58
총범죄,강력범죄,유사강간,18:00~20:59,-,-,5,33,45,47,51,59,66,70,76,91
총범죄,강력범죄,유사강간,21:00~23:59,-,-,10,37,55,78,73,120,89,142,127,143
총범죄,강력범죄,유사강간,미상,-,-,46,109,151,144,129,153,181,172,187,260
총범죄,강력범죄,강제추행,00:00~02:59,-,-,1568,1448,1460,1771,1994,1803,1855,1619,992,1368
총범죄,강력범죄,강제추행,03:00~05:59,-,-,1626,1542,1575,1737,1981,1865,1921,1568,798,1192
총범죄,강력범죄,강제추행,06:00~08:59,-,-,1265,1243,1213,1282,1527,1269,1293,882,737,939
총범죄,강력범죄,강제추행,09:00~11:59,-,-,857,852,890,992,1309,1169,1163,1096,1050,1062
총범죄,강력범죄,강제추행,12:00~14:59,-,-,911,962,1011,1112,1363,1302,1300,1271,1317,1299
총범죄,강력범죄,강제추행,15:00~17:59,-,-,1281,1352,1374,1513,1730,1627,1706,1521,1596,1640
총범죄,강력범죄,강제추행,18:00~20:59,-,-,1672,1743,1804,2084,2398,2163,2189,1972,2065,2111
총범죄,강력범죄,강제추행,21:00~23:59,-,-,2730,2588,2596,2926,3142,3007,2901,2834,3016,3230
총범죄,강력범죄,강제추행,미상,-,-,2868,2881,3136,2637,2503,2848,2792,2581,2391,3023
총범죄,강력범죄,기타 강간·강제추행등,00:00~02:59,-,-,175,106,63,47,30,40,36,24,18,17
총범죄,강력범죄,기타 강간·강제추행등,03:00~05:59,-,-,291,192,72,53,38,48,47,27,22,19
총범죄,강력범죄,기타 강간·강제추행등,06:00~08:59,-,-,104,67,23,17,19,22,12,16,8,14
총범죄,강력범죄,기타 강간·강제추행등,09:00~11:59,-,-,86,60,36,25,25,31,26,20,16,9
총범죄,강력범죄,기타 강간·강제추행등,12:00~14:59,-,-,95,57,32,25,23,23,20,22,21,21
총범죄,강력범죄,기타 강간·강제추행등,15:00~17:59,-,-,97,77,45,34,24,45,37,15,32,22
총범죄,강력범죄,기타 강간·강제추행등,18:00~20:59,-,-,108,70,53,42,23,35,30,23,22,20
총범죄,강력범죄,기타 강간·강제추행등,21:00~23:59,-,-,163,96,54,55,42,43,40,27,38,32
총범죄,강력범죄,기타 강간·강제추행등,미상,-,-,528,266,180,110,80,69,77,63,61,71
총범죄,강력범죄,방화,00:00~02:59,348,269,244,224,186,173,157,165,144,132,114,122
총범죄,강력범죄,방화,03:00~05:59,284,272,233,210,164,185,140,155,151,132,90,125
총범죄,강력범죄,방화,06:00~08:59,132,107,113,101,114,106,85,108,105,67,78,92
총범죄,강력범죄,방화,09:00~11:59,138,146,124,130,149,130,110,265,124,105,87,115
총범죄,강력범죄,방화,12:00~14:59,109,148,153,148,157,144,161,202,109,124,93,118
총범죄,강력범죄,방화,15:00~17:59,205,212,168,222,190,157,154,189,173,128,102,123
총범죄,강력범죄,방화,18:00~20:59,251,252,233,212,253,217,203,215,189,182,140,188
총범죄,강력범죄,방화,21:00~23:59,341,339,343,319,302,265,249,254,228,224,235,228
총범죄,강력범죄,방화,미상,195,155,132,157,158,125,113,138,139,134,107,122
총범죄,절도범죄,소계,00:00~02:59,33013,23761,23674,21567,19591,15516,13734,12581,13088,11778,9358,10252
총범죄,절도범죄,소계,03:00~05:59,20502,23392,24309,21195,19544,15827,14362,13717,14167,13661,10610,11681
총범죄,절도범죄,소계,06:00~08:59,19069,20292,19715,17918,16573,13871,12491,12473,13094,12380,12020,13489
총범죄,절도범죄,소계,09:00~11:59,31812,31732,31528,29081,26273,22842,21376,20412,21501,21210,21357,23397
총범죄,절도범죄,소계,12:00~14:59,20846,32648,33167,30903,29383,26339,24533,24515,27167,26695,26178,28486
총범죄,절도범죄,소계,15:00~17:59,34307,36720,36569,34679,32602,28529,26865,26631,28553,28619,27544,30883
총범죄,절도범죄,소계,18:00~20:59,44176,45653,44081,40322,35746,29447,26609,25655,27229,25781,24162,26343
총범죄,절도범죄,소계,21:00~23:59,38819,39745,37964,35015,30550,25121,22137,19962,20568,19245,17908,18882
