대분류,중분류,소분류,범행동기별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
소계,소계,소계,이욕,157196,140413,134375,125751,139683,149315,144996,135729,144146,137185,111711,110149
소계,소계,소계,사행심,26902,22190,20705,19462,18322,20396,16361,17034,18666,16916,12457,11839
소계,소계,소계,보복,345,336,339,347,371,496,349,297,305,324,379,366
소계,소계,소계,가정불화,5753,6069,7255,6977,19857,25730,22481,20314,22845,20135,23208,20357
소계,소계,소계,호기심,19546,16230,17336,16053,16177,21623,17666,9384,10375,13367,13438,13985
소계,소계,소계,유혹,11435,10869,10178,8564,8591,9675,8813,6805,6300,5840,5528,5835
소계,소계,소계,우발적,292494,283428,274132,259987,256669,255616,246704,261774,270465,257580,238243,262842
소계,소계,소계,현실불만,10262,10598,9804,9233,8460,8878,7720,5984,5958,5463,4327,4681
소계,소계,소계,부주의,239372,231967,238301,237471,238191,244196,222748,196869,188815,168145,152899,157601
소계,소계,소계,기타,518743,530004,533873,532573,527308,556882,482527,386117,363138,347240,314789,338963
소계,소계,소계,미상,533185,471711,495004,496017,537761,554798,515096,541615,554625,522226,370701,323712
소계,강력범죄,소계,이욕,3238,2632,2250,1694,1680,1470,1254,1160,1390,1165,869,886
소계,강력범죄,소계,사행심,145,77,87,55,54,47,43,63,88,107,89,84
소계,강력범죄,소계,보복,11,6,27,20,9,19,19,15,24,20,14,14
소계,강력범죄,소계,가정불화,291,237,245,236,282,271,252,210,206,192,175,132
소계,강력범죄,소계,호기심,1266,1104,1494,1738,1660,1677,1645,1021,1117,928,789,866
소계,강력범죄,소계,유혹,930,1012,1120,905,779,840,811,762,735,649,596,525
소계,강력범죄,소계,우발적,7708,7459,8571,7964,8019,8343,9374,10224,9801,9228,7757,8381
소계,강력범죄,소계,현실불만,350,278,282,298,281,301,262,219,174,158,130,144
소계,강력범죄,소계,부주의,380,321,418,509,533,685,740,631,738,631,519,573
소계,강력범죄,소계,기타,5779,6063,6810,8015,8495,8794,9092,7504,7812,7199,6902,7350
소계,강력범죄,소계,미상,5248,4600,4047,3631,4029,4624,5435,6493,6858,6694,5152,6062
소계,강력범죄,살인기수,이욕,42,36,24,18,16,15,14,6,6,5,10,11
소계,강력범죄,살인기수,사행심,-,-,-,-,-,1,-,-,1,1,-,1
소계,강력범죄,살인기수,보복,1,-,5,2,-,1,-,2,6,6,4,4
소계,강력범죄,살인기수,가정불화,59,51,37,37,32,41,35,33,24,23,26,17
소계,강력범죄,살인기수,호기심,-,-,-,-,-,-,-,-,-,-,-,1
소계,강력범죄,살인기수,유혹,1,-,-,2,1,-,-,1,-,3,-,-
소계,강력범죄,살인기수,우발적,150,147,140,133,123,120,117,115,101,116,87,98
소계,강력범죄,살인기수,현실불만,18,15,10,16,16,18,13,21,22,11,15,13
소계,강력범죄,살인기수,부주의,3,2,1,3,2,4,4,-,2,3,1,2
소계,강력범죄,살인기수,기타,96,118,92,134,120,110,83,94,89,82,81,66
