죄종별(1),죄종별(2),소,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총계,소계,소계,1752598,1793400,1857276,1778966,1861657,1849450,1662341,1580751,1611906,1587866,1429826,1482433
총계,강력범죄,소계,26699,25152,26962,25277,25334,25765,27274,26787,26476,24332,22476,24954
총계,강력범죄,살인기수,427,411,342,372,365,356,301,309,297,308,270,275
총계,강력범죄,살인미수등,777,584,587,541,564,558,524,488,482,416,388,427
총계,강력범죄,강도,3994,2587,1980,1586,1446,1149,967,821,798,663,495,516
총계,강력범죄,강간·강제추행,19498,19670,-,-,-,-,-,-,-,-,-,-
총계,강력범죄,강간,-,-,5753,5078,5151,5155,5223,5293,5310,5313,5263,5467
총계,강력범죄,유사강간,-,-,132,375,518,583,636,776,782,823,814,947
총계,강력범죄,강제추행,-,-,14778,14611,15059,16054,17947,17053,17120,15344,13962,15864
총계,강력범죄,기타 강간·강제추행 등,-,-,1647,991,558,408,304,356,325,237,238,225
총계,강력범죄,방화,2003,1900,1743,1723,1673,1502,1372,1691,1362,1228,1046,1233
총계,절도범죄,소계,281362,290460,288343,266222,245853,203037,183757,176809,186957,179517,166409,182270
총계,절도범죄,절도,241401,253166,248785,229194,211886,175765,160627,155723,165358,158512,148196,164143
총계,절도범죄,절도(상습),-,-,1052,805,5017,3123,1940,1218,1070,971,785,697
총계,절도범죄,특수절도,21730,21705,20362,17921,18636,15506,13128,11955,11783,11772,9142,9411
총계,절도범죄,특수절도(상습),40,28,14,46,445,449,87,56,81,79,23,56
총계,절도범죄,야간주거침입절도,5018,4553,5537,6292,7439,7065,6659,5994,6329,5465,5153,4697
총계,절도범죄,야간주거침입절도(상습),16,14,15,20,333,276,132,89,122,105,109,32
총계,절도범죄,불법사용,303,294,320,359,380,518,542,577,648,830,802,870
총계,절도범죄,불법사용(상습),-,-,-,-,-,1,1,-,2,-,1,-
총계,절도범죄,절도·불법사용(상습),599,365,-,-,-,-,-,-,-,-,-,-
총계,절도범죄,특가법(절도),12255,10335,12257,11585,1717,334,641,1197,1564,1783,2198,2364
총계,절도범죄,특가법(단체등의조직),-,-,1,-,-,-,-,-,-,-,-,-
총계,폭력범죄,소계,311945,312579,294188,290079,305947,309394,293086,287611,287913,265768,232661,245286
총계,폭력범죄,상해,67206,62342,55884,50281,48005,50028,44611,39766,36858,32904,28453,26806
총계,폭력범죄,폭행,126651,130546,128699,132920,149278,165803,159641,159267,157197,139361,115942,125217
총계,폭력범죄,체포·감금,832,876,929,945,1028,1318,1439,1207,1243,1209,1165,1145
총계,폭력범죄,협박,3578,4480,4661,5187,9187,15870,15499,17200,21022,21214,21058,21567
총계,폭력범죄,약취·유인,266,200,188,198,190,201,206,187,250,210,240,276
총계,폭력범죄,폭력행위등,46729,46725,41704,37689,35686,13302,11255,9204,8350,7398,6484,6745
총계,폭력범죄,공갈,5239,6698,4310,4862,3596,3745,4152,4096,4847,5281,5131,6904
총계,폭력범죄,손괴,61444,60712,57813,57997,58977,59127,56283,56684,58146,58191,54188,56626
총계,지능범죄,소계,279802,295101,329439,298652,316121,312577,302466,344698,381533,424642,361107,405105
총계,지능범죄,직무유기,377,496,555,577,507,531,504,581,590,730,957,1550
총계,지능범죄,직권남용,226,276,325,364,401,437,494,603,674,724,875,1792
총계,지능범죄,증수뢰,586,357,253,251,247,260,312,347,260,289,402,320
총계,지능범죄,통화,7900,8203,3874,2770,1822,1811,2794,1194,980,626,376,452
총계,지능범죄,문서·인장,14948,14393,15385,14441,14546,13295,12452,12290,11343,11533,10472,11259
총계,지능범죄,유가증권인지,803,508,456,360,282,219,217,197,140,84,63,58
총계,지능범죄,사기,223470,235366,269082,238409,247293,241613,231489,270029,304472,347675,294075,325848
총계,지능범죄,횡령,26767,31273,34892,37024,46734,50053,50498,55113,58508,58889,50421,60220
총계,지능범죄,배임,4725,4229,4617,4456,4289,4358,3706,4344,4566,4092,3466,3606
총계,풍속범죄,소계,28834,24801,27373,24976,24491,26165,22501,20162,21153,22632,23360,27113
총계,풍속범죄,성풍속범죄,13381,14935,19385,16683,16219,12719,13812,14158,13145,14497,16969,22650
총계,풍속범죄,도박범죄,15453,9866,7988,8293,8272,13446,8689,6004,8008,8135,6391,4463
총계,특별경제범죄,소계,68026,78155,71019,72908,86329,65025,53356,53994,51400,47826,40708,48615
총계,특별경제범죄,신용업무와경매에관한죄,15126,18995,18553,21094,23519,24229,22042,22904,22323,22218,17151,18186
총계,특별경제범죄,여신전문금융업법위반,2739,3713,4005,4504,3719,2473,2149,2345,2167,2057,1880,2267
총계,특별경제범죄,대부업의등록및금융이용자보호에관한법률,4506,6546,2301,1395,900,941,1233,1381,1479,1210,672,914
총계,특별경제범죄,유사수신행위의규제에관한법률,332,408,286,268,284,740,697,666,977,988,489,864
총계,특별경제범죄,전자금융거래법위반,5917,6329,4880,6961,8871,5804,5479,7877,8132,6402,7024,9731
총계,특별경제범죄,부정수표단속법,7238,6250,5300,4250,3149,2279,1917,1755,1557,825,646,535
총계,특별경제범죄,조세범처벌법,3370,3842,3944,3618,2963,2707,2550,2251,2351,2383,1809,2196
총계,특별경제범죄,관세법,8,2,10,6,5,9,3,5,5,1,3,5
총계,특별경제범죄,외국환거래법,268,227,131,130,108,87,94,92,116,94,110,295
총계,특별경제범죄,지방세법,4,6,39,27,84,53,73,159,167,67,33,39
총계,특별경제범죄,저작권법,24811,28632,27217,26363,38376,20632,13384,9624,7489,6434,6216,9507
총계,특별경제범죄,특허법,222,254,220,227,208,188,192,176,182,151,80,81
총계,특별경제범죄,상표법,2177,1640,1996,2622,2692,3113,2261,2485,2709,2253,2301,2216
총계,특별경제범죄,실용신안법,90,124,87,33,40,35,16,15,9,14,25,18
총계,특별경제범죄,디자인보호법,231,333,283,315,218,177,199,224,272,417,160,140
총계,특별경제범죄,컴퓨터프로그램보호법,4,3,2,2,3,-,-,-,-,-,-,-
총계,특별경제범죄,특가법(관세),6,-,-,3,8,4,8,7,4,11,5,4
