"시점","죄종별(1)",발생건수 (건),검거인원 (명),남자검거인원 (명),여자검거인원 (명)
"2011","총계",1752598,1902722,1484584,330649
"2012","총계",1793400,1928795,1480803,331330
"2013","총계",1857276,1962718,1503465,326987
"2014","총계",1778966,1930325,1462970,328094
"2015","총계",1861657,1999065,1487695,342480
"2016","총계",1849450,2029873,1542900,353591
"2017","총계",1662341,1833495,1387401,332831
"2018","총계",1580751,1728602,1286156,329007
"2019","총계",1611906,1749015,1273899,347112
"2020","총계",1587866,1684367,1212094,329160
"2021","총계",1429826,1360405,1002380,278825
"2022","총계",1482433,1357038,1010855,278604
