"시점","죄종별(1)",발생건수 (건),검거인원(계) (명),검거인원(남) (명),검거인원(여) (명)
"1994","총범죄",1309326,1423618,1240591,183027
"1995","총범죄",1329694,1450159,1250532,199627
"1996","총범죄",1419811,1551400,1325056,226344
"1997","총범죄",1536652,1672355,1440974,231381
"1998","총범죄",1712233,1862996,1574056,288940
"1999","총범죄",1654064,1926158,1612592,313566
"2000","총범죄",1739558,1897415,1606484,290931
"2002","총범죄",1833271,1942987,1631803,311184
"2003","총범죄",1894762,1917210,1596351,320859
"2004","총범죄",1968183,2267904,1867190,400714
"2005","총범죄",1733122,1969826,1640981,328845
"2006","총범죄",1719075,1992777,1663935,328842
"2007","총범죄",1836496,2109545,1767114,342431
"2008","총범죄",2063737,2333120,1951565,381555
"2009","총범죄",2020209,2333715,1927584,406131
"2010","총범죄",1784953,1986319,1646357,339962
