죄종별(1),죄종별(2),죄종별(3),요일별,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
계,소계,소계,계,1309326,1329694,1419811,1536652,1712233,1654064,1739558,1860687,1833271,1894762,1968183,1733122,1719075,1836496,2063737,2020209,1784953
계,소계,소계,일요일,113390,124762,129931,129247,153977,147670,163775,168981,159684,156739,237884,208248,203516,222278,248351,236732,213860
계,소계,소계,월요일,163222,204418,233873,252088,285255,260266,265404,271643,266589,274494,283695,250836,245820,260188,294789,294054,260612
계,소계,소계,화요일,163936,198227,197440,218909,230814,221084,232546,241430,229303,237656,296271,259577,257828,272862,312556,303427,267992
계,소계,소계,수요일,184010,239726,311642,339724,385102,389466,391054,412886,406079,389249,289198,251979,256370,272834,301095,303618,260217
계,소계,소계,목요일,150113,172499,173836,194756,209550,195040,209412,208664,198683,188425,289785,256386,258618,275767,309426,304192,269117
계,소계,소계,금요일,155783,186346,186702,195362,223257,199731,213325,220963,213900,205870,292731,263790,260812,278751,311326,308390,271056
계,소계,소계,토요일,142631,162751,163263,162674,180975,189010,190455,189232,171699,164690,278619,242306,236111,253816,286194,269796,242099
계,소계,소계,미상,236241,40965,23124,43892,43303,51797,73587,146888,187334,277639,,,,,,,
형법범,소계,소계,계,467901,497352,545178,553334,633235,689558,773121,802573,754605,827074,803135,790847,818725,828610,885671,980325,934839
형법범,소계,소계,일요일,41217,45308,46000,42852,52024,55320,69116,70339,60285,61642,92790,91950,95323,100289,105019,115721,111604
형법범,소계,소계,월요일,60779,79786,96038,95079,111984,112522,121081,117547,112136,125477,119002,116051,118689,119142,128681,143598,138506
형법범,소계,소계,화요일,57928,74461,76061,79281,83324,90420,102487,104661,94018,102366,121617,119413,122670,122732,134097,145446,139820
형법범,소계,소계,수요일,66672,94241,127824,134740,157341,180897,186911,188027,178077,182623,120677,116041,122473,123014,128473,146921,136524
형법범,소계,소계,목요일,52268,62783,63640,65566,74404,77451,90412,85203,76258,77386,118539,116686,122489,123223,132002,146610,140020
형법범,소계,소계,금요일,52680,63753,65778,63222,74735,76712,88681,89293,81699,84467,119571,121553,125730,126792,135596,150562,142546
형법범,소계,소계,토요일,48965,57866,58552,54492,60277,71479,78422,76018,64175,63760,110939,109153,111351,113418,121803,131467,125819
형법범,소계,소계,미상,87392,19154,11285,18102,19146,24757,36011,71485,87957,129353,,,,,,,
형법범,강력범,소계,계,12114,9762,10655,11599,13602,13400,14520,14858,14353,16519,15496,15357,16397,15973,17758,19790,25771
형법범,강력범,소계,일요일,1264,1229,1248,1180,1406,1408,1553,1480,1349,1472,2244,2240,2341,2446,2556,3020,3831
형법범,강력범,소계,월요일,1511,1561,1811,1845,2330,2110,2279,2151,2122,2394,2154,2034,2182,2125,2333,2622,3699
형법범,강력범,소계,화요일,1472,1400,1483,1686,1697,1779,1951,1994,1842,2020,2241,2197,2339,2277,2480,2756,3613
형법범,강력범,소계,수요일,1457,1531,2115,2460,2864,3088,3203,3288,3052,3242,2180,2138,2437,2176,2523,2736,3543
형법범,강력범,소계,목요일,1338,1274,1262,1415,1670,1477,1714,1601,1550,1654,2103,2254,2238,2198,2482,2827,3554
형법범,강력범,소계,금요일,1267,1282,1329,1387,1754,1520,1659,1596,1567,1772,2265,2263,2375,2293,2563,2875,3699
형법범,강력범,소계,토요일,1353,1151,1245,1291,1497,1562,1539,1554,1277,1343,2309,2231,2485,2458,2821,2954,3832
형법범,강력범,소계,미상,2452,334,162,335,384,456,622,1194,1594,2622,,,,,,,
형법범,강력범,살인,계,653,630,679,784,963,976,941,1051,957,998,1083,1061,1073,1111,1109,1374,1251
형법범,강력범,살인,일요일,76,80,87,83,98,109,104,112,100,115,168,141,162,161,141,209,195
형법범,강력범,살인,월요일,77,113,128,135,151,159,151,160,148,137,147,152,141,147,158,203,193
형법범,강력범,살인,화요일,87,94,90,125,141,116,122,138,127,147,156,151,160,159,166,183,202
형법범,강력범,살인,수요일,75,97,133,148,199,208,178,217,183,197,139,157,149,185,154,204,163
형법범,강력범,살인,목요일,75,79,90,107,128,108,127,108,112,108,167,154,152,143,175,194,177
형법범,강력범,살인,금요일,72,78,69,75,126,127,100,125,113,96,148,160,149,153,156,203,159
형법범,강력범,살인,토요일,73,77,69,88,100,119,109,115,89,77,158,146,160,163,159,178,162
형법범,강력범,살인,미상,118,12,13,23,20,30,50,76,85,121,,,,,,,
형법범,강력범,강도,계,4580,3674,3670,4400,5516,4972,5461,5692,5906,7292,5832,5170,4838,4439,4811,6351,4409
형법범,강력범,강도,일요일,441,445,415,469,532,458,527,514,441,579,771,683,607,645,632,944,612
형법범,강력범,강도,월요일,563,580,574,633,952,813,886,795,953,1017,838,659,662,577,636,853,677
형법범,강력범,강도,화요일,560,532,483,631,681,663,723,777,710,826,836,758,682,680,626,894,620
형법범,강력범,강도,수요일,546,580,738,997,1183,1158,1213,1306,1285,1448,864,749,753,601,723,904,591
형법범,강력범,강도,목요일,490,464,442,533,677,527,644,614,650,758,833,810,663,626,706,945,604
형법범,강력범,강도,금요일,444,494,489,558,726,566,677,600,676,771,858,804,736,700,714,934,637
형법범,강력범,강도,토요일,505,441,473,482,631,563,544,612,442,536,832,707,735,610,774,877,668
형법범,강력범,강도,미상,1031,138,56,117,134,224,247,474,749,1357,,,,,,,
형법범,강력범,강간,계,6173,4844,5580,5627,5978,6359,6855,6751,6119,6531,6950,7316,8755,8726,9883,10192,18220
형법범,강력범,강간,일요일,667,626,666,541,667,718,786,717,653,620,1062,1124,1316,1391,1506,1605,2728
형법범,강력범,강간,월요일,790,769,979,923,1025,982,1034,995,850,996,947,962,1121,1156,1259,1320,2540
형법범,강력범,강간,화요일,720,687,800,825,740,839,934,868,787,817,1006,1028,1239,1188,1415,1389,2512
형법범,강력범,강간,수요일,760,766,1115,1170,1286,1464,1557,1473,1292,1273,943,996,1252,1151,1327,1361,2522
형법범,강력범,강간,목요일,688,640,641,686,691,717,788,726,659,638,888,1039,1193,1179,1337,1398,2525
형법범,강력범,강간,금요일,666,632,672,669,780,712,737,738,624,704,1020,1041,1275,1219,1440,1473,2648
형법범,강력범,강간,토요일,688,562,626,637,634,751,736,696,619,574,1084,1126,1359,1442,1599,1646,2745
형법범,강력범,강간,미상,1194,162,81,176,155,176,283,538,635,909,,,,,,,
형법범,강력범,방화,계,708,614,726,768,1145,1093,1263,1364,1371,1698,1631,1810,1731,1697,1955,1873,1891
형법범,강력범,방화,일요일,80,78,80,87,109,123,136,137,155,158,243,292,256,249,277,262,296
형법범,강력범,방화,월요일,81,99,130,154,202,156,208,201,171,244,222,261,258,245,280,246,289
형법범,강력범,방화,화요일,105,87,110,105,135,161,172,211,218,230,243,260,258,250,273,290,279
형법범,강력범,방화,수요일,76,88,129,145,196,258,255,292,292,324,234,236,283,239,319,267,267
형법범,강력범,방화,목요일,85,91,89,89,174,125,155,153,129,150,215,251,230,250,264,290,248
