대,중,소,시간별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,심야(00:00~04:00),116664,125759,135562,145650,181537,199965,227726,231374,227356,232135,794266,669626,658792,682121,825648,838369,657125
총범죄,소계,소계,새벽(04:00~07:00),38998,41308,43568,47170,48238,54892,63837,64021,61087,60858,92146,83080,79152,90689,99263,94166,87811
총범죄,소계,소계,오전(07:00~12:00),163507,180626,192047,195345,230522,231894,239295,258970,235199,234504,206451,200434,207161,223647,243143,242713,231321
총범죄,소계,소계,오후(12:00~18:00),248225,247811,258781,259432,294722,300942,303518,299365,287782,285512,301583,272648,278197,298859,332056,316751,298739
총범죄,소계,소계,초저녁(18:00~20:00),91141,94094,94087,102344,118736,114916,123492,121742,115557,117096,104313,98884,98744,104802,113639,113412,113618
총범죄,소계,소계,밤(20:00~24:00),205086,222743,235911,296229,305451,270674,313298,328523,325151,340628,469424,408450,397029,436378,449988,414798,396339
형법범,소계,소계,심야(00:00~04:00),52976,57491,59530,63563,77410,102409,125059,120285,105150,109782,391256,354920,359472,351056,388751,452696,394534
형법범,소계,소계,새벽(04:00~07:00),9796,11214,11766,13056,14859,19135,27468,28712,25241,25759,39327,41166,41714,44650,46603,48769,47064
형법범,소계,소계,오전(07:00~12:00),50181,60909,69541,71101,86402,92312,103513,113368,99997,108880,79863,87716,97214,101061,104995,113936,121459
형법범,소계,소계,오후(12:00~18:00),80332,84500,89616,88159,101170,105928,119789,115637,109477,119842,115350,118287,127681,131115,135559,146067,151383
형법범,소계,소계,초저녁(18:00~20:00),31439,32859,30997,30976,34647,39143,51797,51855,47077,48170,43125,48057,49971,52257,56489,57699,61110
형법범,소계,소계,밤(20:00~24:00),74005,72097,70885,70914,77451,90573,114141,112247,96807,101000,134214,140701,142673,148471,153274,161158,159289
형법범,강력범,소계,심야(00:00~04:00),3297,2769,2925,3227,3639,3714,4021,3900,3720,4085,5271,5130,5274,5505,6902,7907,10062
형법범,강력범,소계,새벽(04:00~07:00),542,515,602,607,795,908,1042,1043,1116,1227,2109,2337,2482,2390,2352,2494,2910
형법범,강력범,소계,오전(07:00~12:00),987,841,998,1068,1511,1369,1650,1710,1649,1942,1626,1561,1774,1688,1716,1947,3003
형법범,강력범,소계,오후(12:00~18:00),1702,1495,1590,1634,1891,1844,1946,2033,1774,2147,2338,2242,2288,2174,2278,2521,3404
형법범,강력범,소계,초저녁(18:00~20:00),772,676,680,716,876,862,892,931,829,1003,916,911,1090,915,993,1049,1626
