대분류,중분류,소분류,발생지별(1),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,서울특별시,346198,350674,347022,349602,377918,349658,366351,407157,371736,378072,396355,353242,347290,356719,392626,405857,348541
총범죄,소계,소계,부산광역시,108512,113321,117861,118091,138857,134248,129020,133624,121514,136483,155995,122499,126900,141593,170436,176217,130047
총범죄,소계,소계,대구광역시,69962,72023,76304,83084,97816,93489,96221,102852,105298,101180,110640,90386,89404,93814,106545,97603,96342
총범죄,소계,소계,인천광역시,66975,63755,73695,84735,103836,95142,106214,102654,111568,108207,104419,100871,108648,102302,108802,106071,86782
총범죄,소계,소계,광주광역시,38927,43409,49746,52208,64698,56147,59169,65979,65028,67753,58808,57898,54954,58955,60902,60785,62091
총범죄,소계,소계,대전광역시,31816,31962,34880,39900,46464,43774,45972,48545,45803,56960,54780,48916,45044,51055,52923,53594,42042
총범죄,소계,소계,울산광역시,29989,32512,37407,39070,44135,42247,41835,41778,42098,54153,48214,38645,40477,45868,46585,47089,43691
총범죄,소계,소계,부천시,16905,18316,20946,20675,23290,24426,21410,23239,26411,26638,26273,32396,31577,31858,41757,37880,30769
총범죄,소계,소계,수원시,22223,19642,20620,24161,25742,28186,29702,35327,40696,39065,41832,33757,31592,34930,47918,45722,37473
총범죄,소계,소계,성남시,17986,18584,19849,25360,26373,27389,26735,30735,34305,33352,30832,28678,30318,34031,44457,39710,29007
총범죄,소계,소계,전주시,14864,14202,16867,18610,21537,18878,20088,26353,29004,22380,23138,21277,21050,19405,20510,21256,20992
총범죄,소계,소계,안양시,12717,12307,12118,14051,13658,13360,14237,16538,18538,20634,21312,15349,15553,16249,20847,18108,15455
총범죄,소계,소계,청주시,18328,20160,23859,22195,22703,24183,28928,33848,30198,32467,27316,24335,22694,27125,27820,24570,23646
총범죄,소계,소계,마산시,13567,15785,18192,17939,21486,19589,20153,22948,18091,17001,14676,14322,14181,17297,17750,18366,17600
총범죄,소계,소계,창원시,11529,11968,12345,12273,17522,16015,17959,21734,21316,23801,23401,18772,18211,23887,28661,22321,22074
