죄종별,죄종별(2),죄종별(3),연령별,항목,단위,1994 년,1995 년,1996 년,1997 년,1998 년,1999 년,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년
총범죄,소계,소계,미성년,범죄자[명],명,108681,123372,136323,153380,151383,141519,143018,131059,115210,96697,86861,83477,90628,115661,123044,118058,94862
총범죄,소계,소계,14세미만,범죄자[명],명,2648,2109,2149,1875,1440,1339,1437,1378,1667,1376,1503,1679,1718,2602,5547,2615,621
총범죄,소계,소계,성인,범죄자[명],명,1302941,1325225,1412545,1516202,1707707,1777161,1749212,1841330,1821169,1811469,2093377,1838155,1858300,1955214,2144039,2151798,1836620
총범죄,소계,소계,미상,범죄자[명],명,11996,1562,2532,2773,3906,7478,5185,7785,6608,9044,87666,48194,43849,38670,66037,63859,54837
형법범,소계,소계,미성년,범죄자[명],명,78972,84998,86611,99519,103243,94310,96150,84518,75511,67408,61577,62008,66740,80008,75331,86087,74368
형법범,소계,소계,14세미만,범죄자[명],명,1876,1496,1525,1261,1032,947,1038,957,1209,960,1328,1281,1421,2052,1697,865,381
형법범,소계,소계,성인,범죄자[명],명,534373,557447,606287,609728,716375,848483,828751,833319,771610,794986,925346,882418,929141,923179,951091,1034814,920564
형법범,소계,소계,미상,범죄자[명],명,3895,568,849,1030,1589,4049,2820,3273,3189,4479,56187,36113,31699,28164,38353,43899,39525
형법범,강력범,소계,미성년,범죄자[명],명,5510,3780,3334,4118,4870,3828,3268,2454,2041,2221,1839,1533,1825,2113,2322,2786,3428
형법범,강력범,소계,14세미만,범죄자[명],명,63,40,23,21,18,25,42,26,18,34,19,18,44,44,47,26,17
형법범,강력범,소계,성인,범죄자[명],명,9536,7672,8584,9217,11400,11409,11085,10997,10671,12597,12817,12433,13709,14134,15142,17519,21963
형법범,강력범,소계,미상,범죄자[명],명,80,14,14,16,32,65,49,71,63,79,1037,579,453,440,501,654,595
형법범,강력범,살인,미성년,범죄자[명],명,76,84,61,66,76,68,54,50,53,24,27,32,30,29,19,23,23
형법범,강력범,살인,14세미만,범죄자[명],명,,1,,1,2,1,4,,,2,2,,,1,1,,
형법범,강력범,살인,성인,범죄자[명],명,660,639,714,791,1019,1048,1002,1114,995,1056,1090,1122,1168,1234,1202,1458,1313
형법범,강력범,살인,미상,범죄자[명],명,1,,1,,,9,2,7,3,5,83,24,34,49,30,34,8
형법범,강력범,강도,미성년,범죄자[명],명,4017,2965,2634,3412,4132,3117,2619,1922,1618,1840,1409,1032,1181,1399,1604,2100,1198
형법범,강력범,강도,14세미만,범죄자[명],명,41,17,10,12,10,17,18,11,8,24,8,6,9,16,12,8,
형법범,강력범,강도,성인,범죄자[명],명,2990,2354,2455,2972,4187,3822,3691,3585,3815,5097,4441,3685,3712,3823,4280,6029,4091
형법범,강력범,강도,미상,범죄자[명],명,47,7,9,10,14,27,27,40,20,33,616,367,292,249,290,424,253
형법범,강력범,강간,미성년,범죄자[명],명,1355,665,602,581,584,567,511,391,317,299,321,323,472,467,464,454,2029
형법범,강력범,강간,14세미만,범죄자[명],명,11,14,10,6,2,5,5,5,6,2,4,1,12,4,10,3,9
형법범,강력범,강간,성인,범죄자[명],명,5261,4149,4767,4766,5132,5598,5390,5171,4782,5090,5852,6171,7492,7753,8206,8608,15297
형법범,강력범,강간,미상,범죄자[명],명,32,7,4,6,16,28,19,22,37,36,308,173,120,126,162,153,320
형법범,강력범,방화,미성년,범죄자[명],명,62,66,37,59,78,76,84,91,53,58,82,146,142,218,235,209,178
형법범,강력범,방화,14세미만,범죄자[명],명,11,8,3,2,4,2,15,10,4,6,5,11,23,23,24,15,8
형법범,강력범,방화,성인,범죄자[명],명,625,530,648,688,1062,941,1002,1127,1079,1354,1434,1455,1337,1324,1454,1424,1262
