대분류,중분류,소분류,범행동기별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,이욕,184442,187138,191339,185785,226853,241986,207681,220235,213188,217442,83540,73513,79960,83286,102075,124558,290974
총범죄,소계,소계,사행심,18824,20298,21047,21898,21103,21500,23932,13858,20796,16405,26061,22196,31133,26597,31240,42330,562
총범죄,소계,소계,보복,6123,4789,4711,5733,5129,5323,5465,4881,4264,3347,5543,4781,4421,4438,2081,1432,26164
총범죄,소계,소계,가정불화,5820,4479,4340,3679,6131,11404,11930,12076,9976,10686,10636,8693,7890,7286,5469,4159,5348
총범죄,소계,소계,호기심,15272,17840,26890,32307,24490,14962,14940,17429,17110,13504,15828,17762,25468,30557,33906,49894,25851
총범죄,소계,소계,유혹,6106,6924,7384,8914,11864,12147,7951,12037,12572,8448,12225,9456,12101,16104,24147,27557,15168
총범죄,소계,소계,우발적,238646,245167,251090,269991,299543,341849,372513,389195,356800,333179,393196,359966,351652,386443,444432,448420,356152
총범죄,소계,소계,현실불만,12016,11074,13415,12468,12341,18950,14365,14305,12845,12621,12423,10962,11283,12470,17037,16983,12719
총범죄,소계,소계,부주의,369099,394241,433451,459959,454091,461008,475911,454289,426987,417564,386183,287167,264524,306304,361585,321270,275143
총범죄,소계,소계,기타,569270,558209,597733,671621,801451,797029,762727,831869,868449,884014,1322269,1175330,1204345,1236060,1311148,1297112,978238
형법범,소계,소계,이욕,99222,112042,118586,111891,136006,152727,133726,134483,133916,140795,47763,43724,46510,44894,51179,63656,137230
형법범,소계,소계,사행심,17132,18437,18733,18586,18457,19217,21791,21598,18702,14618,23111,19909,25364,20862,24472,33322,191
형법범,소계,소계,보복,6047,4694,4571,5629,5002,5210,5310,4710,4012,3145,3951,3554,3377,3138,216,132,21008
형법범,소계,소계,가정불화,5634,4333,4176,3521,5874,10977,11473,11715,9733,10436,9566,7997,7258,6664,4871,3686,4845
형법범,소계,소계,호기심,9981,10812,13045,15929,14424,9309,9784,10291,10544,8165,9906,10978,12832,13881,13434,21452,13066
형법범,소계,소계,유혹,4432,3870,4038,4731,6469,5584,4480,5189,4795,3514,4807,4426,5117,6104,7764,10198,6804
형법범,소계,소계,우발적,198655,199190,206135,213455,238480,300276,340317,343352,298817,288745,310404,297170,293871,310092,338348,355091,283465
형법범,소계,소계,현실불만,10646,9809,10728,10288,10180,16634,12361,12423,10842,10128,10530,9466,9820,10874,14372,14556,11346
형법범,소계,소계,부주의,15808,20349,22521,23734,24663,31569,26085,23456,20976,21262,12435,11640,12605,13118,17546,21062,19533
형법범,소계,소계,기타,249683,259477,291214,302513,361652,395339,362394,353893,337973,366065,610637,571675,610826,601724,592573,641645,536969
형법범,강력범,소계,이욕,4781,3340,3181,3920,5107,4535,4289,3574,3445,4171,2028,1556,1436,1523,1814,2308,4037
형법범,강력범,소계,사행심,199,200,166,185,142,101,76,53,38,47,72,107,132,126,153,269,17
형법범,강력범,소계,보복,247,219,174,253,221,261,226,255,241,250,223,216,215,251,6,2,133
형법범,강력범,소계,가정불화,205,186,188,201,236,263,239,311,266,271,294,270,244,249,161,118,238
형법범,강력범,소계,호기심,957,511,564,545,410,400,372,347,267,285,347,324,397,449,524,491,1423
형법범,강력범,소계,유혹,540,371,386,453,516,483,383,324,314,326,399,354,385,385,559,656,900
형법범,강력범,소계,우발적,3355,2775,2952,3006,3617,3759,3652,3574,3359,3808,4492,4464,5165,5491,6573,7766,8657
형법범,강력범,소계,현실불만,222,181,199,232,302,269,233,267,244,264,311,275,279,299,494,502,414
형법범,강력범,소계,부주의,89,96,144,168,169,214,136,146,119,152,80,75,100,119,162,233,238
형법범,강력범,소계,기타,4531,3587,3978,4388,5582,5018,4796,4671,4482,5323,7447,6904,7634,7795,7519,8614,9929
형법범,강력범,살인,이욕,42,31,46,51,81,85,92,98,80,76,13,16,14,10,15,11,114
형법범,강력범,살인,사행심,3,7,7,4,13,2,3,2,4,-,3,-,-,8,1,5,7
형법범,강력범,살인,보복,130,130,104,138,102,112,99,113,112,93,71,94,111,101,3,-,1
형법범,강력범,살인,가정불화,78,87,94,99,130,116,98,143,115,112,122,117,91,97,65,63,106
형법범,강력범,살인,호기심,3,-,1,2,3,2,1,2,1,3,-,2,5,2,-,1,2
형법범,강력범,살인,유혹,13,2,6,3,8,2,2,2,6,5,-,-,4,3,3,-,1
형법범,강력범,살인,우발적,232,223,254,275,351,391,346,372,332,391,442,420,473,493,638,824,627
형법범,강력범,살인,현실불만,32,35,50,39,52,59,43,52,50,46,59,53,37,51,89,98,84
형법범,강력범,살인,부주의,4,3,10,9,8,17,5,10,5,10,2,2,4,6,9,5,3
형법범,강력범,살인,기타,200,205,204,237,347,339,369,377,346,349,488,474,493,541,428,508,399
형법범,강력범,강도,이욕,4322,3000,2818,3559,4713,4043,3768,3092,3002,3704,1944,1486,1366,1461,1739,2233,2215
