대분류,중분류,소분류,은신처별,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
총범죄,소계,소계,자기집,391363,392758,408522,412695,443655,486633,475197,463126,497655,489963,449044,483686
총범죄,소계,소계,공범집,696,606,677,708,650,603,554,484,455,472,346,274
총범죄,소계,소계,애인집,931,860,1024,987,1324,1544,1524,1495,1361,1291,1181,1376
총범죄,소계,소계,친족집,1529,1386,1546,1612,1924,2060,2101,1931,2007,1880,1763,1868
총범죄,소계,소계,지인집,3730,3534,3902,3882,4699,5135,5120,5098,5021,4455,3819,3694
총범죄,소계,소계,숙박업소,6085,6156,7111,6536,7692,7976,7996,8805,8842,8125,6694,6714
총범죄,소계,소계,야외,8373,7938,7978,7235,7067,7507,7305,6631,7020,6106,5444,5084
총범죄,소계,소계,현장검거,475262,440020,435360,415403,410218,427589,364743,305491,269086,226516,189628,193827
총범죄,소계,소계,외국,1240,1089,1128,1113,1089,1283,1185,1097,1129,827,538,769
총범죄,소계,소계,기타,392740,396434,378893,366174,355244,352579,304821,268092,260672,244271,218810,229664
총범죄,소계,소계,미상,533284,473034,495161,496090,537828,554696,514915,519672,532390,510515,370413,323374
총범죄,소계,소계,,,,,,,,,,,,,
형법범,강력범죄,소계,소계,25346,23789,25351,25065,25821,27071,28927,28302,28943,26971,22992,25017
형법범,강력범죄,소계,자기집,6528,6981,8707,9281,9733,10592,11215,11840,12431,12502,11447,12355
형법범,강력범죄,소계,공범집,43,30,30,33,23,13,9,28,23,13,18,10
형법범,강력범죄,소계,애인집,72,59,63,56,55,60,45,33,37,45,47,46
형법범,강력범죄,소계,친족집,49,46,48,68,58,54,65,53,38,55,44,49
형법범,강력범죄,소계,지인집,177,176,128,137,144,160,168,155,149,147,138,110
형법범,강력범죄,소계,숙박업소,484,403,455,367,354,328,331,351,338,334,255,225
형법범,강력범죄,소계,야외,363,312,289,257,300,336,370,319,355,253,218,215
형법범,강력범죄,소계,현장검거,6008,5313,5790,6130,6369,6573,6752,5589,4972,3621,2610,2698
형법범,강력범죄,소계,외국,25,22,35,26,27,30,19,16,9,14,6,14
형법범,강력범죄,소계,기타,6365,5826,5766,5093,4736,4317,4542,3857,4125,3529,3083,3269
형법범,강력범죄,소계,미상,5232,4621,4040,3617,4022,4608,5411,6061,6466,6458,5126,6026
형법범,강력범죄,살인기수,소계,449,446,377,447,389,379,344,350,345,341,307,298
형법범,강력범죄,살인기수,자기집,92,91,82,93,94,99,87,82,79,86,85,81
형법범,강력범죄,살인기수,공범집,-,-,-,-,-,-,-,2,-,-,-,-
형법범,강력범죄,살인기수,애인집,3,3,-,3,2,3,4,2,3,2,1,1
형법범,강력범죄,살인기수,친족집,2,-,2,7,2,3,6,4,-,1,5,3
형법범,강력범죄,살인기수,지인집,4,7,5,5,2,3,4,4,6,5,3,4
형법범,강력범죄,살인기수,숙박업소,17,26,16,20,6,13,12,13,13,12,10,9
형법범,강력범죄,살인기수,야외,22,20,17,21,12,14,13,14,14,17,8,9
형법범,강력범죄,살인기수,현장검거,101,97,91,85,100,87,79,85,76,73,64,60
형법범,강력범죄,살인기수,외국,2,3,-,3,2,2,1,1,-,1,-,-
형법범,강력범죄,살인기수,기타,123,123,96,108,90,86,61,66,61,53,48,46
형법범,강력범죄,살인기수,미상,83,76,68,102,79,69,77,77,93,91,83,85
형법범,강력범죄,살인미수등,소계,836,610,620,575,586,616,561,516,525,454,409,429
형법범,강력범죄,살인미수등,자기집,121,101,84,83,83,81,76,105,89,89,102,97
형법범,강력범죄,살인미수등,공범집,-,-,-,1,-,-,-,-,1,-,2,-
형법범,강력범죄,살인미수등,애인집,4,1,5,4,4,4,-,-,1,1,3,2
형법범,강력범죄,살인미수등,친족집,4,5,2,9,2,6,5,3,4,5,4,1
형법범,강력범죄,살인미수등,지인집,15,10,8,10,7,7,11,9,6,5,4,2
형법범,강력범죄,살인미수등,숙박업소,17,17,21,21,8,18,8,16,14,16,9,5
형법범,강력범죄,살인미수등,야외,37,16,19,21,16,24,14,20,20,17,14,11
형법범,강력범죄,살인미수등,현장검거,316,250,272,227,285,304,284,216,206,163,154,182
형법범,강력범죄,살인미수등,외국,-,1,1,1,1,3,-,-,-,2,-,-
형법범,강력범죄,살인미수등,기타,221,156,156,128,118,103,104,85,101,77,59,64
형법범,강력범죄,살인미수등,미상,101,53,52,70,62,66,59,62,83,79,58,65
형법범,강력범죄,강도,소계,4890,3322,2593,2078,1999,1716,1456,1165,1336,1202,748,764
형법범,강력범죄,강도,자기집,1311,991,770,712,633,574,486,429,466,488,267,280
형법범,강력범죄,강도,공범집,32,21,12,7,20,5,4,18,12,6,11,4
형법범,강력범죄,강도,애인집,30,17,22,20,15,14,12,5,8,6,4,6
형법범,강력범죄,강도,친족집,12,8,8,7,7,9,10,5,4,5,3,3
형법범,강력범죄,강도,지인집,80,69,25,35,35,36,31,24,29,32,19,16
형법범,강력범죄,강도,숙박업소,261,204,204,116,152,100,113,124,125,99,66,65
형법범,강력범죄,강도,야외,150,101,62,63,73,69,43,48,66,35,24,40
형법범,강력범죄,강도,현장검거,666,481,352,299,296,237,189,156,156,110,94,106
형법범,강력범죄,강도,외국,20,14,26,8,14,8,6,6,3,3,3,-
형법범,강력범죄,강도,기타,1835,1166,890,635,599,505,424,225,342,271,163,171
형법범,강력범죄,강도,미상,493,250,222,176,155,159,138,125,125,147,94,73
형법범,강력범죄,강간·강제추행,소계,17652,18012,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,자기집,4590,5413,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,공범집,11,5,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,애인집,33,33,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,친족집,26,26,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,지인집,74,79,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,숙박업소,156,140,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,야외,130,138,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,현장검거,4416,3996,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,외국,2,4,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,기타,3825,4046,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간·강제추행,미상,4389,4132,-,-,-,-,-,-,-,-,-,-
형법범,강력범죄,강간,소계,-,-,5856,5517,5621,5829,5943,5947,6138,6113,5593,5606
형법범,강력범죄,강간,자기집,-,-,2421,2459,2491,2576,2530,2516,2604,2744,2629,2585
형법범,강력범죄,강간,공범집,-,-,7,14,-,6,-,5,7,5,4,4
형법범,강력범죄,강간,애인집,-,-,16,11,17,20,13,8,17,16,20,15
형법범,강력범죄,강간,친족집,-,-,10,18,11,13,12,7,11,15,10,6
형법범,강력범죄,강간,지인집,-,-,35,32,35,39,57,38,36,42,42,33
형법범,강력범죄,강간,숙박업소,-,-,88,83,83,79,84,70,69,75,70,52
형법범,강력범죄,강간,야외,-,-,46,32,47,38,64,47,48,31,35,23
형법범,강력범죄,강간,현장검거,-,-,506,530,532,513,526,439,401,351,309,263
형법범,강력범죄,강간,외국,-,-,3,6,5,7,4,1,1,2,1,6
형법범,강력범죄,강간,기타,-,-,1311,1042,920,861,860,725,781,620,616,616
형법범,강력범죄,강간,미상,-,-,1413,1290,1480,1677,1793,2091,2163,2212,1857,2003
형법범,강력범죄,유사강간,소계,-,-,136,389,535,598,694,848,895,934,834,917
형법범,강력범죄,유사강간,자기집,-,-,63,194,263,303,361,434,463,482,450,524
형법범,강력범죄,유사강간,공범집,-,-,-,1,-,-,-,-,-,1,-,-
형법범,강력범죄,유사강간,애인집,-,-,-,2,3,1,4,4,1,1,-,-
형법범,강력범죄,유사강간,친족집,-,-,-,1,2,1,1,4,2,-,-,2
형법범,강력범죄,유사강간,지인집,-,-,-,6,5,10,6,5,8,5,8,7
형법범,강력범죄,유사강간,숙박업소,-,-,1,5,2,9,9,12,6,20,7,14
형법범,강력범죄,유사강간,야외,-,-,3,2,2,3,9,4,10,4,7,4
형법범,강력범죄,유사강간,현장검거,-,-,16,42,68,73,75,105,87,72,75,60
형법범,강력범죄,유사강간,외국,-,-,-,-,-,-,-,-,-,2,-,1
형법범,강력범죄,유사강간,기타,-,-,42,82,84,91,106,110,113,114,89,110
형법범,강력범죄,유사강간,미상,-,-,11,54,106,107,123,170,205,233,198,195
형법범,강력범죄,강제추행,소계,-,-,12496,13400,14488,16016,18272,17631,17892,16382,13882,15574
형법범,강력범죄,강제추행,자기집,-,-,3953,4743,5415,6239,7039,7556,8005,7998,7381,8188
형법범,강력범죄,강제추행,공범집,-,-,9,6,-,2,5,1,-,1,1,-
형법범,강력범죄,강제추행,애인집,-,-,5,9,8,15,7,8,5,13,15,17
형법범,강력범죄,강제추행,친족집,-,-,11,20,22,14,23,23,14,22,19,27
형법범,강력범죄,강제추행,지인집,-,-,21,33,41,45,43,63,47,51,54,41
형법범,강력범죄,강제추행,숙박업소,-,-,50,69,78,95,84,91,86,93,77,70
형법범,강력범죄,강제추행,야외,-,-,84,69,109,157,204,144,161,115,106,99
형법범,강력범죄,강제추행,현장검거,-,-,3874,4238,4437,4793,5104,4035,3568,2459,1621,1701
형법범,강력범죄,강제추행,외국,-,-,4,7,2,6,7,7,3,4,2,5
형법범,강력범죄,강제추행,기타,-,-,2484,2530,2473,2307,2712,2368,2448,2139,1899,2009
형법범,강력범죄,강제추행,미상,-,-,2001,1676,1903,2343,3044,3335,3555,3487,2707,3417
형법범,강력범죄,기타 강간·강제추행등,소계,-,-,1887,1193,686,521,371,458,495,349,271,283
형법범,강력범죄,기타 강간·강제추행등,자기집,-,-,951,587,328,288,202,230,271,193,158,154
형법범,강력범죄,기타 강간·강제추행등,공범집,-,-,2,2,2,-,-,1,2,-,-,-
형법범,강력범죄,기타 강간·강제추행등,애인집,-,-,11,3,-,1,3,1,-,1,4,1
형법범,강력범죄,기타 강간·강제추행등,친족집,-,-,10,1,5,3,1,1,-,-,-,4
형법범,강력범죄,기타 강간·강제추행등,지인집,-,-,24,9,8,5,9,5,10,1,-,2
형법범,강력범죄,기타 강간·강제추행등,숙박업소,-,-,63,23,14,4,7,9,9,3,5,5
형법범,강력범죄,기타 강간·강제추행등,야외,-,-,29,14,9,12,4,7,9,6,2,3
형법범,강력범죄,기타 강간·강제추행등,현장검거,-,-,180,153,88,72,56,59,43,21,25,16
형법범,강력범죄,기타 강간·강제추행등,외국,-,-,1,-,1,4,-,1,2,-,-,2
형법범,강력범죄,기타 강간·강제추행등,기타,-,-,436,256,121,80,56,67,84,63,38,47
형법범,강력범죄,기타 강간·강제추행등,미상,-,-,180,145,110,52,33,77,65,61,39,49
형법범,강력범죄,방화,소계,1519,1399,1386,1466,1517,1396,1286,1387,1317,1196,948,1146
형법범,강력범죄,방화,자기집,414,385,383,410,426,432,434,488,454,422,375,446
형법범,강력범죄,방화,공범집,-,4,-,2,1,-,-,1,1,-,-,2
형법범,강력범죄,방화,애인집,2,5,4,4,6,2,2,5,2,5,-,4
형법범,강력범죄,방화,친족집,5,7,5,5,7,5,7,6,3,7,3,3
형법범,강력범죄,방화,지인집,4,11,10,7,11,15,7,7,7,6,8,5
형법범,강력범죄,방화,숙박업소,33,16,12,30,11,10,14,16,16,16,11,5
형법범,강력범죄,방화,야외,24,37,29,35,32,19,19,35,27,28,22,26
형법범,강력범죄,방화,현장검거,509,489,499,556,563,494,439,494,435,372,268,310
형법범,강력범죄,방화,외국,1,-,-,1,2,-,1,-,-,-,-,-
형법범,강력범죄,방화,기타,361,335,351,312,331,284,219,211,195,192,171,206
형법범,강력범죄,방화,미상,166,110,93,104,127,135,144,124,177,148,90,139
형법범,절도범죄,소계,소계,111390,104434,102658,95645,103166,106415,105695,97334,101295,98425,85687,94315
형법범,절도범죄,소계,자기집,40629,41509,42875,42350,49174,52954,53788,50752,54403,55819,51349,57760
형법범,절도범죄,소계,공범집,204,189,271,222,253,187,221,175,166,154,106,103
형법범,절도범죄,소계,애인집,241,189,236,219,243,240,197,196,152,130,107,125
형법범,절도범죄,소계,친족집,224,185,214,197,245,258,260,245,248,218,166,188
형법범,절도범죄,소계,지인집,881,759,885,781,911,957,953,942,908,801,595,526
형법범,절도범죄,소계,숙박업소,2072,2037,2561,1971,2306,2386,2499,2765,2649,2209,1671,1762
형법범,절도범죄,소계,야외,2522,2446,2375,2114,2012,2199,2177,1997,1896,1673,1282,1287
형법범,절도범죄,소계,현장검거,17170,15582,14068,12490,12281,11838,11362,9817,9271,8276,6253,6183
형법범,절도범죄,소계,외국,42,47,49,43,46,62,50,34,39,18,12,19
형법범,절도범죄,소계,기타,37242,34035,31798,27846,27370,26408,24303,20805,21207,18907,15860,16809
형법범,절도범죄,소계,미상,10163,7456,7326,7412,8325,8926,9885,9606,10356,10220,8286,9553
형법범,폭력범죄,소계,소계,392042,400282,369913,358275,372723,380965,363511,348969,346561,313990,264229,274673
형법범,폭력범죄,소계,자기집,73115,82621,80587,81761,93464,101517,102345,104955,112324,112582,109819,117367
형법범,폭력범죄,소계,공범집,83,101,121,124,71,98,84,64,52,41,44,21
형법범,폭력범죄,소계,애인집,168,174,185,132,219,311,228,252,227,198,249,289
형법범,폭력범죄,소계,친족집,252,275,266,299,409,461,473,427,530,513,608,643
형법범,폭력범죄,소계,지인집,517,504,523,505,651,726,693,765,727,685,736,714
