대분류,중분류,소분류,은신처별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,자기집,368489,362461,363935,368909,419038,416019,342776,353181,348323,347242,394971,346239,352824,368829,411106,480693,434558
총범죄,소계,소계,공범집,1527,976,1017,1016,1122,977,937,700,568,570,2129,1495,1133,1347,1470,1695,983
총범죄,소계,소계,애인집,941,692,672,647,793,760,788,769,822,786,1116,928,849,1020,904,1086,1207
총범죄,소계,소계,친족집,1816,1460,1385,1345,1675,1583,1434,1217,1070,1002,5172,3561,3267,3746,4264,4282,2265
총범죄,소계,소계,지인집,2578,2096,2131,2281,2804,2393,2110,2080,1821,1838,6590,5804,5469,5309,5849,6351,4871
총범죄,소계,소계,숙박업소,3836,2870,2914,2934,3295,2823,3109,3231,2886,2656,4758,4238,4429,5182,5558,6443,6066
총범죄,소계,소계,야 외,3992,4837,5862,5677,7221,5269,4467,3979,3634,3360,7941,5896,5694,8087,9321,10710,11396
총범죄,소계,소계,현장검거,405259,452273,490605,585958,665954,692562,705643,734197,733340,698485,874049,731237,689548,754911,831074,692268,575140
총범죄,소계,소계,외 국,1035,921,1074,1152,1242,1215,1346,1465,1400,1487,2681,2335,2225,2340,2409,2780,1844
총범죄,소계,소계,기 타,634145,621573,681805,702436,759852,802557,834805,879355,849123,859784,968497,868093,927339,958774,1061165,1127407,947989
형법범,소계,소계,자기집,168330,177600,184158,185009,209382,223227,179309,178022,171792,179478,195715,180410,182903,178265,188146,230262,224717
형법범,소계,소계,공범집,1324,817,813,711117,822162,947649,928512,568,488,495,1132,867,695,846,781,953,715
형법범,소계,소계,애인집,872,625,607,557,651,638,628,633,690,667,829,730,655,767,679,852,980
형법범,소계,소계,친족집,1406,1097,1026,978,1236,1194,1068,899,800,816,2986,2113,1967,2090,1972,2282,1336
형법범,소계,소계,지인집,2078,1616,1595,1610,2034,1763,1504,1480,1242,1257,4579,4107,3739,3558,3718,4145,3348
형법범,소계,소계,숙박업소,3010,2098,2147,2097,2218,1880,2004,2118,1894,1844,3302,3142,3169,3636,3953,4897,4779
형법범,소계,소계,야 외,3279,3881,4729,4468,5867,4158,3474,2976,2712,2597,4187,4002,3848,4718,5610,6713,7000
형법범,소계,소계,현장검거,172827,184844,193467,208129,253483,331372,361503,357246,324618,311248,343979,306680,300178,295009,288791,280809,229957
형법범,소계,소계,외 국,442,429,536,606,712,775,712,866,831,856,1629,1471,1353,1407,1367,1517,1166
형법범,소계,소계,기 타,263672,270006,304669,305983,344669,381028,376728,376302,345243,367614,484772,477017,529073,541055,569758,632370,560459
형법범,강력범,소계,자기집,4031,2629,2609,2904,3455,3343,2820,2416,2299,2482,2660,2465,2843,3011,3391,4356,6641
형법범,강력범,소계,공범집,167,51,65,13495,16415,15404,14479,42,52,60,52,51,40,42,45,48,54
형법범,강력범,소계,애인집,78,40,30,60,64,55,64,53,59,67,57,68,38,54,90,65,105
형법범,강력범,소계,친족집,170,77,70,79,77,76,61,43,41,44,89,59,53,59,74,58,68
형법범,강력범,소계,지인집,201,121,97,131,186,141,88,91,86,81,149,124,123,139,154,191,189
형법범,강력범,소계,숙박업소,411,225,236,275,322,269,276,230,162,236,311,255,263,298,339,391,417
형법범,강력범,소계,야 외,343,276,318,321,474,356,300,274,265,299,308,272,300,277,387,388,502
