대분류,중분류,소분류,내·외국인별(1),내·외국인별(2),1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,한국인,소계,1421120,1448142,1549329,1670087,1860409,1922859,1893724,1975504,1937458,1910673,2257879,1959826,1979430,2094248,2311750,2309830,1963076
총범죄,소계,소계,한국인,민간인,1420495,1447407,1548544,1669298,1859510,1922399,1893575,1975387,1937320,1910548,2256474,1958719,1978477,2093156,2310648,2308551,1961624
총범죄,소계,소계,한국인,군인,625,735,785,789,899,460,149,117,138,125,1405,1107,953,1092,1102,1279,1452
총범죄,소계,소계,외국인,소계,2126,1676,1631,1750,1776,2306,2447,2911,3467,4023,5891,6521,9951,10073,15122,15268,14621
총범죄,소계,소계,외국인,미국인,1509,1138,968,1004,869,1062,874,953,1054,999,963,840,825,836,874,1205,1509
총범죄,소계,소계,외국인,중국인,485,435,555,639,776,1083,1387,1799,2267,2899,4783,5583,8998,9094,14130,13919,13003
총범죄,소계,소계,외국인,일본인,132,103,108,107,131,161,186,159,146,125,145,98,128,143,118,144,109
총범죄,소계,소계,기타외국인,소계,372,341,440,518,811,993,1244,1759,2062,2514,4134,3479,3396,5224,6248,8617,8622
형법범,소계,소계,한국인,소계,616051,642036,692755,709135,819827,944887,925353,918145,846809,862733,1037120,973796,1017097,1020065,1049526,1149776,1019838
형법범,소계,소계,한국인,민간인,615749,641711,692416,708797,819383,944654,925279,918089,846743,862663,1036480,973252,1016628,1019464,1048973,1149109,1019066
형법범,소계,소계,한국인,군인,302,325,339,338,444,233,74,56,66,70,640,544,469,601,553,667,772
형법범,소계,소계,외국인,소계,957,735,697,803,884,1287,1516,1756,2170,2585,3758,4793,8190,7814,11628,9948,9461
형법범,소계,소계,외국인,미국인,628,442,328,353,309,769,428,457,475,433,412,444,467,498,541,776,893
형법범,소계,소계,외국인,중국인,278,239,323,406,530,446,1009,1231,1628,2092,3283,4295,7665,7241,11016,9079,8510
형법범,소계,소계,외국인,일본인,51,54,46,44,45,72,79,68,67,60,63,54,58,75,71,93,58
형법범,소계,소계,기타외국인,소계,232,242,295,339,496,668,852,1209,1331,1555,2232,1950,2293,3472,3621,5076,5158
형법범,강력범,살인,한국인,소계,735,714,768,846,1083,1102,1039,1128,1004,1052,1140,1133,1159,1258,1165,1411,1258
형법범,강력범,살인,한국인,민간인,733,713,768,845,1083,1101,1039,1128,1004,1051,1138,1133,1159,1258,1165,1408,1255
형법범,강력범,살인,한국인,군인,2,1,-,1,-,1,-,-,-,1,2,-,-,-,-,3,3
형법범,강력범,살인,외국인,소계,-,6,3,4,11,10,14,33,38,23,30,21,22,29,62,61,58
형법범,강력범,살인,외국인,미국인,-,-,1,2,1,9,1,-,3,1,1,-,-,-,1,-,2
형법범,강력범,살인,외국인,중국인,-,6,2,2,9,1,13,33,35,22,29,21,22,29,61,61,56
형법범,강력범,살인,외국인,일본인,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
형법범,강력범,살인,기타외국인,소계,2,3,5,7,1,13,2,10,9,10,30,24,51,25,24,43,28
형법범,강력범,강도,한국인,소계,7038,5317,5066,6370,8261,6875,6279,5434,5353,6820,6309,4960,5078,5353,6041,8291,5322
형법범,강력범,강도,한국인,민간인,7032,5299,5057,6363,8248,6867,6274,5430,5350,6815,6301,4954,5069,5339,6026,8271,5303
형법범,강력범,강도,한국인,군인,6,18,9,7,13,8,5,4,3,5,8,6,9,14,15,20,19
형법범,강력범,강도,외국인,소계,4,8,21,11,30,45,16,41,45,76,70,39,35,57,72,92,109
형법범,강력범,강도,외국인,미국인,2,5,2,6,10,24,4,11,12,14,9,5,10,9,10,15,24
형법범,강력범,강도,외국인,중국인,2,3,19,5,20,20,12,29,33,62,61,34,25,47,62,76,85
형법범,강력범,강도,외국인,일본인,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,1,-
형법범,강력범,강도,기타외국인,소계,12,1,11,13,42,46,42,72,55,74,87,85,72,61,61,170,111
형법범,강력범,강간,한국인,소계,6637,4813,5364,5337,5718,6182,5903,5550,5095,5376,6429,6605,8016,8232,8716,9089,17385
형법범,강력범,강간,한국인,민간인,6620,4809,5359,5323,5708,6177,5903,5548,5095,5371,6415,6598,8005,8216,8701,9075,17336
형법범,강력범,강간,한국인,군인,17,4,5,14,10,5,-,2,-,5,14,7,11,16,15,14,49
형법범,강력범,강간,외국인,소계,9,7,4,12,5,5,7,10,15,13,19,23,25,37,42,61,100
형법범,강력범,강간,외국인,미국인,6,3,4,6,3,1,4,4,7,5,8,13,7,8,9,11,29
형법범,강력범,강간,외국인,중국인,2,3,-,5,1,3,3,6,7,7,11,9,13,28,32,50,67
형법범,강력범,강간,외국인,일본인,1,1,-,1,1,1,-,-,1,1,-,1,5,1,1,-,4
형법범,강력범,강간,기타외국인,소계,2,1,5,4,9,6,10,24,26,36,33,39,43,77,74,65,161
형법범,강력범,방화,한국인,소계,687,596,683,747,1142,1015,1081,1215,1134,1409,1538,1610,1478,1549,1696,1662,1442
형법범,강력범,방화,한국인,민간인,687,596,683,747,1141,1015,1081,1215,1133,1408,1537,1610,1478,1549,1695,1661,1440
형법범,강력범,방화,한국인,군인,-,-,-,-,1,-,-,-,1,1,1,-,-,-,1,1,2
형법범,강력범,방화,외국인,소계,-,-,2,-,-,1,4,4,-,3,5,2,5,6,9,8,8
형법범,강력범,방화,외국인,미국인,-,-,1,-,-,-,-,3,-,1,2,-,-,1,3,1,1
형법범,강력범,방화,외국인,중국인,-,-,-,-,-,1,4,1,-,2,3,2,5,5,6,6,7
형법범,강력범,방화,외국인,일본인,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-
형법범,강력범,방화,기타외국인,소계,-,-,-,-,0,2,2,1,1,5,3,4,3,3,3,6,4
형법범,절도범,소계,한국인,소계,53163,51868,51875,56117,72928,66504,65637,58881,63044,61011,67572,71314,78034,91979,94967,124075,117352
형법범,절도범,소계,한국인,민간인,53131,51838,51840,56090,72866,66479,65635,58879,63028,61000,67525,71269,78002,91921,94900,123983,117195
형법범,절도범,소계,한국인,군인,32,30,35,27,62,25,2,2,16,11,47,45,32,58,67,92,157
형법범,절도범,소계,외국인,소계,113,84,63,81,98,103,121,142,185,237,229,278,365,469,499,769,744
형법범,절도범,소계,외국인,미국인,83,57,44,40,54,45,64,60,72,62,42,47,57,51,42,129,125
형법범,절도범,소계,외국인,중국인,28,27,15,38,39,55,52,79,108,171,175,226,305,411,447,625,609
형법범,절도범,소계,외국인,일본인,2,-,4,3,5,3,5,3,5,4,12,5,3,7,10,15,10
형법범,절도범,소계,기타외국인,소계,95,68,92,92,168,204,324,449,415,403,597,557,616,760,852,1240,1014
형법범,기타형법범,장물에 관한죄,한국인,소계,2201,2002,1988,2010,3231,3498,2875,2102,1780,1773,1972,2412,2786,3612,2496,3885,4459
형법범,기타형법범,장물에 관한죄,한국인,민간인,2200,2002,1988,2010,3231,3497,2875,2102,1779,1773,1971,2412,2786,3612,2495,3884,4458
형법범,기타형법범,장물에 관한죄,한국인,군인,1,-,-,-,-,1,-,-,1,-,1,-,-,-,1,1,1
형법범,기타형법범,장물에 관한죄,외국인,소계,-,4,1,-,-,1,3,2,3,3,-,4,11,14,4,7,8
형법범,기타형법범,장물에 관한죄,외국인,미국인,-,2,1,-,-,-,-,-,1,-,-,1,-,-,1,1,-
형법범,기타형법범,장물에 관한죄,외국인,중국인,-,1,-,-,-,1,3,2,2,3,-,3,11,14,3,6,8
형법범,기타형법범,장물에 관한죄,외국인,일본인,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
