대분류,중분루,소분류,피해자와의 관계별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
총범죄,소계,소계,국 가,417308,428798,446170,564718,666264,601369,556851,664675,721293,683589,815824,645156,625040,729496,830739,727722,561090
총범죄,소계,소계,공무원,4819,5159,4819,3062,3058,3850,3515,3964,4306,4571,5718,5254,5589,7417,9478,10274,9052
총범죄,소계,소계,고용자,7125,7101,7564,7425,9200,11016,10148,10308,10886,10683,13711,11589,10358,10404,8938,9121,9822
총범죄,소계,소계,피고용자,5086,4636,4826,4740,5770,6140,6348,6349,6217,6339,7631,6027,5736,5342,4855,4798,4177
총범죄,소계,소계,직장동료,15810,13404,13485,12262,11796,14894,16274,15497,14283,14091,18567,16877,16503,16097,16365,17268,13980
총범죄,소계,소계,친 구,11594,10734,10866,10724,12006,13970,14233,13770,12217,12153,20248,17060,16541,17710,19255,22121,17580
총범죄,소계,소계,애 인,5635,5399,5901,5724,7168,9327,10629,12172,12116,12302,14934,12806,12621,13413,13682,14119,12557
총범죄,소계,소계,동거친족,10911,9934,9661,8581,13512,24920,256025,26282,22985,25731,23874,20725,18198,18179,17484,16381,12747
총범죄,소계,소계,기타친족,6550,6006,5864,5945,7404,10177,10395,10168,8698,9119,10812,9538,9261,8650,8634,7998,7477
총범죄,소계,소계,거래상대방,39139,55426,65631,59529,72945,74192,60023,58938,56497,58704,59111,46466,43931,40712,38656,43150,43720
총범죄,소계,소계,이 웃,26289,21886,20820,18602,22023,27155,27116,25517,21507,20756,22487,20592,18972,18392,18641,18808,21107
총범죄,소계,소계,지 인,50134,57811,64429,68961,81363,98553,92637,89060,78452,81969,72673,59432,54385,49553,46768,47775,35567
총범죄,소계,소계,타 인,613657,620847,662087,652037,677014,737068,780265,751797,684888,664293,629071,556523,559921,574556,581079,611545,524165
총범죄,소계,소계,기 타,209381,203018,229277,250045,273473,293527,282956,291677,288642,312910,553243,541781,595721,599624,718546,782635,713278
형법범,소계,소계,국 가,37600,37357,37502,43198,54763,68723,60069,62750,52696,44160,43423,41937,64100,54931,56842,75298,50830
형법범,소계,소계,공무원,3130,2330,2618,2645,2870,3657,3332,3772,4079,4345,5125,4773,5228,7058,8956,9781,8411
형법범,소계,소계,고용자,6858,6901,7321,7181,8907,10479,9676,9798,10494,10279,12906,11040,9873,9931,8472,8627,9423
형법범,소계,소계,피고용자,4869,4453,4600,4460,5505,5797,5886,5798,5620,5813,6515,5301,5018,4507,3961,3838,3717
